arm,seed,final_acl,max_chain,passes,int_acc,int_dec,int_noop,xy_acc,pair_acc,readouts,bm_wall,arrange_wall,traj,time
plane,0,4.56,8,6,592,0,8708,0,202,593,5.26,14.84,375|103|39|71|4|0,60.1
plane,1,4.43,8,6,592,0,8708,0,202,593,5.11,13.7,375|103|39|71|4|0,60.1
plane,2,4.27,7,6,592,0,8708,0,202,593,4.92,13.51,375|103|39|71|4|0,60.0
xy,0,4.29,7,9,1274,0,10838,342,577,1275,24.97,29.58,389|86|127|167|148|65|91|139|62,60.0
xy,1,4.34,8,9,1255,0,10766,341,559,1256,25.15,29.55,389|86|127|167|148|65|91|139|43,60.0
xy,2,4.53,8,9,1249,0,10745,335,559,1250,25.56,29.6,389|86|127|167|148|65|91|139|37,60.1
audit,0,4.69,8,2,61,1687,1352,0,12,1749,2.64,7.52,61|0,60.0
audit,1,4.81,8,2,61,1687,1352,0,12,1749,2.61,6.65,61|0,60.1
audit,2,4.55,8,2,61,1687,1352,0,12,1749,2.63,8.01,61|0,60.1
audit-xy,0,4.6,8,4,80,4056,1664,7,28,4137,13.96,18.7,66|8|6|0,60.1
audit-xy,1,5.13,8,4,80,4056,1664,7,28,4137,14.33,19.16,66|8|6|0,60.0
audit-xy,2,4.67,8,4,80,4056,1664,7,28,4137,14.5,19.18,66|8|6|0,60.0
