cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.0,29.41,1,138,,138,0,5513,139,0,1.86,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,65.3
K100,Z12,,plane,1,7.26,8,0.0,29.76,1,138,,138,0,9221,139,0,2.04,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,64.7
K100,Z12,,plane,2,7.26,8,0.0,29.69,1,138,,138,0,1533,139,0,2.92,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,65.0
K100,Z12,,xy,0,7.26,8,0.0,29.71,1,190,,190,0,201,191,0,2.72,98,0,0,62,1,0,1153.0,21.0,True,0,0,0,True,61.9
K100,Z12,,xy,1,7.26,8,0.0,29.53,1,226,,226,0,201,227,0,2.2,98,0,0,98,1,0,1153.0,21.0,True,0,0,0,True,65.2
K100,Z12,,xy,2,7.26,8,0.0,29.88,1,192,,192,0,201,193,0,2.78,98,0,0,64,1,0,1153.0,21.0,True,0,0,0,True,64.1
K140,Z12,,plane,0,9.757,10,0.02,29.12,1,188,,188,0,2110,189,0,4.92,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,70.9
K140,Z12,,plane,1,9.757,10,0.01,29.45,1,188,,188,0,3897,189,0,4.42,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,60.4
K140,Z12,,plane,2,9.757,10,0.0,29.66,1,188,,188,0,4552,189,0,5.93,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,70.5
K140,Z12,,xy,0,9.757,10,0.0,29.67,1,216,,216,0,370,217,0,3.93,159,0,0,34,1,0,2312.0,31.0,True,0,0,0,True,78.2
K140,Z12,,xy,1,9.757,10,0.01,29.74,1,205,,205,0,370,206,0,9.43,159,0,0,23,1,0,2312.0,31.0,True,0,0,0,True,63.0
K140,Z12,,xy,2,9.757,10,0.0,29.71,1,197,,197,0,370,198,0,4.04,159,0,0,15,1,0,2312.0,31.0,True,0,0,0,True,62.0
ER100_d10,Z12,,plane,0,4.56,8,0.08,15.43,6,375|103|39|71|4|0,,592,0,8708,593,0,5.73,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,1,4.43,8,0.06,14.48,6,375|103|39|71|4|0,,592,0,8708,593,0,5.96,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane,2,4.27,7,0.1,14.43,6,375|103|39|71|4|0,,592,0,8708,593,0,5.71,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,xy,0,5.06,9,0.09,29.45,6,389|86|127|167|148|31,,948,0,6704,949,0,29.33,945,0,383,243,1,0,667.0,19.0,True,0,0,0,True,60.0
ER100_d10,Z12,,xy,1,4.59,8,0.07,29.5,2,389|86,,475,0,2228,476,0,2.1,222,0,146,102,1,0,690.0,19.0,True,0,0,0,True,60.1
ER100_d10,Z12,,xy,2,4.53,8,0.23,29.41,8,389|86|127|167|148|65|91|105,,1178,0,10009,1179,0,26.72,1095,0,525,314,1,0,661.0,19.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,0,9.253,12,0.0,29.05,1,203,,203,0,1864,204,0,21.32,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,62.4
turan_n162,Z12,2647,plane,1,9.593,13,0.0,29.36,1,190,,190,0,5973,191,0,3.85,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,61.9
turan_n162,Z12,2647,plane,2,9.253,12,0.0,29.56,1,203,,203,0,1453,204,0,5.07,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,64.2
turan_n162,Z12,2647,plane,3,9.253,12,0.01,29.23,1,203,,203,0,4589,204,0,6.15,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,63.7
turan_n162,Z12,2647,plane,4,9.222,12,0.01,29.33,1,203,,203,0,4956,204,0,6.79,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,66.3
turan_n162,Z12,2647,plane,5,9.611,13,0.01,28.91,1,190,,190,0,1084,191,0,11.23,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,63.4
turan_n162,Z12,2647,plane,6,9.253,12,0.0,29.93,1,203,,203,0,6816,204,0,4.03,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,65.0
turan_n162,Z12,2647,plane,7,9.611,13,0.0,29.93,1,190,,190,0,5532,191,0,2.93,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,68.0
turan_n162,Z12,2647,plane,8,9.611,13,0.0,29.93,1,190,,190,0,5451,191,0,3.03,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,63.7
turan_n162,Z12,2647,plane,9,9.253,12,0.0,29.94,1,203,,203,0,6374,204,0,4.08,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,63.9
turan_n162,Z12,2647,xy,0,9.006,13,0.0,30.0,1,250,,250,0,456,251,0,27.65,244,0,0,48,1,0,2524.0,27.0,True,0,0,0,True,64.5
turan_n162,Z12,2647,xy,1,9.593,13,0.0,30.05,1,240,,240,0,462,241,0,3.0,183,0,0,50,1,0,2700.0,32.0,True,0,0,0,True,63.0
turan_n162,Z12,2647,xy,2,9.019,13,0.0,30.07,1,254,,254,0,456,255,0,27.85,244,0,0,52,1,0,2524.0,27.0,True,0,0,0,True,64.1
turan_n162,Z12,2647,xy,3,9.019,13,0.0,30.12,1,268,,268,0,457,269,0,24.49,244,0,0,66,1,0,2524.0,27.0,True,0,0,0,True,65.0
turan_n162,Z12,2647,xy,4,9.16,13,0.0,29.9,1,240,,240,0,452,241,0,27.96,241,0,0,38,1,0,2543.0,27.0,True,0,0,0,True,60.6
turan_n162,Z12,2647,xy,5,9.611,13,0.0,29.97,1,253,,253,0,462,254,0,3.09,183,0,0,63,1,0,2700.0,32.0,True,0,0,0,True,61.7
turan_n162,Z12,2647,xy,6,9.019,13,0.0,29.95,1,249,,249,0,456,250,0,28.62,244,0,0,47,1,0,2524.0,27.0,True,0,0,0,True,69.9
turan_n162,Z12,2647,xy,7,9.611,13,0.0,30.05,1,249,,249,0,462,250,0,6.09,183,0,0,59,1,0,2700.0,32.0,True,0,0,0,True,67.0
turan_n162,Z12,2647,xy,8,9.586,13,0.0,30.09,1,255,,255,0,462,256,0,29.86,255,0,0,65,1,0,2680.0,32.0,True,0,0,0,True,75.3
turan_n162,Z12,2647,xy,9,9.006,13,0.0,30.01,1,272,,272,0,458,273,0,29.41,271,0,0,70,1,0,2520.0,27.0,True,0,0,0,True,60.7
spin_glass_n163,Z12,37309,plane,0,10.853,12,0.97,28.95,1,347,,347,0,5110,348,0,10.53,334,0,58,0,1,0,3055.0,33.0,True,0,0,0,True,60.5
spin_glass_n163,Z12,37309,plane,1,10.853,12,0.9,29.03,1,348,,348,0,5585,349,0,11.52,334,0,59,0,1,0,3055.0,33.0,True,0,0,0,True,72.0
spin_glass_n163,Z12,37309,plane,2,10.853,12,1.77,28.13,1,353,,353,0,6603,354,0,9.22,334,0,64,0,1,0,3055.0,33.0,True,0,0,0,True,70.6
spin_glass_n163,Z12,37309,xy,0,10.871,12,2.05,27.74,1,452,,452,0,1200,453,0,26.05,447,0,51,144,1,0,3053.0,32.0,True,0,0,0,True,76.7
spin_glass_n163,Z12,37309,xy,1,10.883,12,1.74,28.13,1,388,,388,0,379,389,0,27.76,387,0,0,131,1,0,3058.0,32.0,True,0,0,0,True,77.6
spin_glass_n163,Z12,37309,xy,2,10.859,12,2.27,27.69,1,393,,393,0,379,394,0,27.02,390,0,0,136,1,0,3056.0,32.0,True,0,0,0,True,65.8
regular_n316,Z12,13096,plane,0,2.87,7,1.64,28.24,2,860|175,,1035,0,2893,1036,0,19.02,757,0,131,0,1,5,1607.0,30.0,True,0,0,2,False,60.4
regular_n316,Z12,13096,plane,1,2.687,6,0.95,28.99,2,860|290,,1150,0,3914,1151,0,12.3,757,0,141,0,1,5,1607.0,30.0,True,0,0,2,False,60.1
