cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ER100_d10,Z12,,plane,0,4.56,8,0.07,15.36,6,375|103|39|71|4|0,,592,0,8708,593,0,5.85,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,214.8
ER100_d10,Z12,,plane,1,4.43,8,0.05,18.51,6,375|103|39|71|4|0,,592,0,8708,593,0,8.68,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,179.9
ER100_d10,Z12,,plane,2,4.27,7,0.05,16.32,6,375|103|39|71|4|0,,592,0,8708,593,0,6.0,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,175.9
ER100_d10,Z12,,xy,0,4.71,7,0.25,119.46,29,389|86|127|167|148|65|91|139|109|85|119|55,,3352,0,37577,3353,0,119.4,3353,0,1597,1086,1,0,631.0,18.0,True,0,0,0,True,240.0
ER100_d10,Z12,,xy,1,4.16,7,0.05,119.71,25,389|86|127|167|148|65|91|139|109|85|119|55,,2757,0,33054,2758,0,118.25,2733,0,1319,923,1,0,632.0,19.0,True,0,0,0,True,240.0
ER100_d10,Z12,,xy,2,4.13,7,0.06,119.53,27,389|86|127|167|148|65|91|139|109|85|119|55,,3062,0,35020,3063,0,109.15,2733,0,1436,1018,1,0,632.0,19.0,True,0,0,0,True,240.1
turan_n162,Z12,2647,plane,0,6.0,6,0.0,119.37,2,203|153,,356,0,21426,357,0,76.26,352,0,22,0,1,0,1714.0,27.0,True,0,0,0,True,241.6
turan_n162,Z12,2647,plane,1,6.0,6,0.0,119.38,2,190|77,,267,0,24282,268,0,64.27,268,0,0,0,1,0,1683.0,25.0,True,0,0,0,True,240.1
turan_n162,Z12,2647,plane,2,6.0,6,0.01,118.94,2,203|153,,356,0,23698,357,0,68.42,352,0,22,0,1,0,1714.0,27.0,True,0,0,0,True,241.6
turan_n162,Z12,2647,plane,3,6.0,6,0.0,119.56,2,203|153,,356,0,22496,357,0,69.24,352,0,22,0,1,0,1714.0,27.0,True,0,0,0,True,240.6
turan_n162,Z12,2647,plane,4,6.0,6,0.0,119.34,2,203|153,,356,0,22816,357,0,65.01,352,0,22,0,1,0,1714.0,27.0,True,0,0,0,True,242.2
turan_n162,Z12,2647,plane,5,6.0,6,0.0,119.48,2,190|77,,267,0,24635,268,0,68.79,268,0,0,0,1,0,1683.0,25.0,True,0,0,0,True,240.4
turan_n162,Z12,2647,plane,6,6.0,6,0.0,119.59,2,203|153,,356,0,22651,357,0,70.36,352,0,22,0,1,0,1714.0,27.0,True,0,0,0,True,240.9
turan_n162,Z12,2647,plane,7,6.0,6,0.0,119.41,2,190|77,,267,0,22676,268,0,67.8,268,0,0,0,1,0,1683.0,25.0,True,0,0,0,True,243.6
turan_n162,Z12,2647,plane,8,6.0,6,0.02,119.36,2,190|77,,267,0,23752,268,0,71.58,268,0,0,0,1,0,1683.0,25.0,True,0,0,0,True,240.2
turan_n162,Z12,2647,plane,9,6.0,6,0.0,119.3,2,203|153,,356,0,21750,357,0,74.14,352,0,22,0,1,0,1714.0,27.0,True,0,0,0,True,240.0
turan_n162,Z12,2647,xy,0,6.0,6,0.0,119.34,2,274|100,,374,0,14151,375,0,113.41,368,0,2,77,1,0,1885.0,29.0,True,0,0,0,True,240.5
turan_n162,Z12,2647,xy,1,9.506,14,0.0,119.54,1,456,,456,0,11321,457,0,36.22,267,0,190,76,1,0,2656.0,32.0,True,0,0,0,True,240.2
turan_n162,Z12,2647,xy,2,6.0,6,0.01,119.58,2,274|100,,374,0,14194,375,0,107.71,368,0,2,77,1,0,1885.0,29.0,True,0,0,0,True,240.8
turan_n162,Z12,2647,xy,3,6.0,6,0.0,119.39,2,274|100,,374,0,14148,375,0,114.82,368,0,2,77,1,0,1885.0,29.0,True,0,0,0,True,244.2
turan_n162,Z12,2647,xy,4,6.0,6,0.0,119.62,2,274|94,,368,0,14145,369,0,119.24,368,0,2,71,1,0,1885.0,29.0,True,0,0,0,True,240.2
turan_n162,Z12,2647,xy,5,9.506,14,0.0,119.45,1,465,,465,0,11876,466,0,29.14,267,0,199,76,1,0,2656.0,32.0,True,0,0,0,True,240.2
turan_n162,Z12,2647,xy,6,6.0,6,0.0,119.56,2,274|104,,378,0,14202,379,0,104.3,368,0,2,81,1,0,1885.0,29.0,True,0,0,0,True,240.8
turan_n162,Z12,2647,xy,7,9.506,14,0.0,119.36,1,482,,482,0,12853,483,0,27.84,267,0,216,76,1,0,2656.0,32.0,True,0,0,0,True,240.4
turan_n162,Z12,2647,xy,8,9.506,14,0.0,119.89,1,422,,422,0,9371,423,0,38.87,267,0,156,76,1,0,2656.0,32.0,True,0,0,0,True,240.6
turan_n162,Z12,2647,xy,9,9.006,13,0.0,119.95,1,274,,274,0,5098,275,0,42.89,271,0,2,70,1,0,2520.0,27.0,True,0,0,0,True,192.2
regular_n316,Z12,13096,plane,0,2.769,8,2.71,117.22,5,860|321|189|193|16,,1579,0,11122,1580,0,78.35,1303,0,240,0,1,0,1577.0,30.0,True,1,0,0,True,240.0
regular_n316,Z12,13096,plane,1,2.763,6,19.65,100.27,4,860|321|189|188,,1558,0,10887,1559,0,64.85,1303,0,235,0,1,0,1577.0,30.0,True,0,0,0,True,240.0
regular_n316,Z12,13096,plane,2,2.611,6,11.36,108.25,5,860|321|189|193|163,,1726,0,12905,1727,0,59.32,1303,0,248,0,1,0,1577.0,30.0,True,3,0,0,True,240.1
regular_n316,Z12,13096,plane,3,2.611,6,11.14,108.75,5,860|321|189|193|118,,1681,0,11647,1682,0,76.5,1303,0,240,0,1,0,1577.0,30.0,True,0,0,0,True,240.2
regular_n316,Z12,13096,plane,4,2.665,6,19.3,100.22,4,860|321|189|131,,1501,0,9173,1502,0,80.68,1303,0,195,0,1,0,1577.0,30.0,True,2,0,0,True,240.1
regular_n316,Z12,13096,plane,5,2.737,6,17.51,102.41,5,860|321|189|193|171,,1734,0,13480,1735,0,46.03,1303,0,256,0,1,0,1577.0,30.0,True,2,0,0,True,240.0
regular_n316,Z12,13096,plane,6,2.82,6,19.39,100.5,5,860|321|189|193|166,,1729,0,12994,1730,0,55.2,1303,0,251,0,1,0,1577.0,30.0,True,1,0,0,True,240.1
regular_n316,Z12,13096,plane,7,3.035,7,12.11,107.8,5,860|321|189|193|44,,1607,0,11253,1608,0,63.19,1303,0,240,0,1,0,1577.0,30.0,True,2,0,0,True,240.1
regular_n316,Z12,13096,plane,8,3.019,7,19.62,100.18,6,860|321|189|193|178|68,,1809,0,14527,1810,0,46.27,1303,0,263,0,1,0,1577.0,30.0,True,0,0,0,True,240.1
regular_n316,Z12,13096,plane,9,2.722,6,17.13,102.74,4,860|321|189|99,,1469,0,8633,1470,0,89.08,1303,0,195,0,1,0,1577.0,30.0,True,0,0,0,True,240.0
regular_n316,Z12,13096,xy,0,2.646,6,19.13,100.76,4,968|485|332|245,,2030,0,8708,2031,0,19.59,919,0,481,335,1,18,1586.0,30.0,False,0,8,5,False,240.0
regular_n316,Z12,13096,xy,1,2.639,6,15.32,102.97,4,968|485|332|279,,2064,0,9205,2065,0,28.72,919,0,515,335,1,18,1586.0,30.0,False,0,8,5,False,240.7
regular_n316,Z12,13096,xy,2,2.899,7,18.73,100.16,5,968|485|332|279|66,,2130,0,9906,2131,0,23.35,919,0,515,335,1,18,1586.0,30.0,False,0,8,5,False,240.1
regular_n316,Z12,13096,xy,3,2.722,6,17.29,102.04,5,968|485|332|279|54,,2118,0,9711,2119,0,36.21,919,0,515,335,1,18,1586.0,30.0,False,1,8,5,False,240.0
regular_n316,Z12,13096,xy,4,2.753,7,19.51,100.39,4,968|485|332|150,,1935,0,7979,1936,0,51.79,919,0,394,327,1,18,1586.0,30.0,False,1,8,5,False,240.0
regular_n316,Z12,13096,xy,5,2.759,6,18.8,101.1,4,968|485|332|172,,1957,0,8156,1958,0,28.83,919,0,408,335,1,18,1586.0,30.0,False,0,8,5,False,240.3
regular_n316,Z12,13096,xy,6,2.968,7,11.17,108.54,4,968|485|332|41,,1826,0,6996,1827,0,68.6,919,0,394,279,1,18,1586.0,30.0,False,2,8,5,False,240.1
regular_n316,Z12,13096,xy,7,3.152,8,18.77,101.13,4,968|485|332|92,,1877,0,7628,1878,0,21.81,919,0,394,279,1,18,1586.0,30.0,False,2,8,5,False,241.1
regular_n316,Z12,13096,xy,8,2.959,7,15.72,104.13,6,968|485|332|279|194|73,,2331,0,12895,2332,0,26.5,919,0,569,388,1,18,1586.0,30.0,False,0,8,5,False,240.0
regular_n316,Z12,13096,xy,9,2.839,6,16.53,102.33,3,968|485|332,,1785,0,6643,1786,0,20.94,919,0,394,279,1,18,1586.0,30.0,False,0,8,5,False,240.0
ws_n486,Z12,17188,plane,0,2.691,10,13.13,105.08,2,1523|543,,2066,0,6385,2067,0,84.69,1910,0,358,0,1,307,2253.0,32.0,False,0,36,43,False,241.6
ws_n486,Z12,17188,plane,1,2.562,8,9.9,109.24,3,1523|581|301,,2405,0,8102,2406,0,99.8,2220,0,396,0,1,523,2094.0,27.0,False,0,44,60,False,240.0
ws_n486,Z12,17188,plane,2,2.681,11,0.49,119.71,3,1523|581|170,,2274,0,7486,2275,0,106.79,2220,0,396,0,1,523,2094.0,27.0,False,4,44,60,False,240.0
ws_n486,Z12,17188,plane,3,2.512,9,1.47,118.46,2,1523|500,,2023,0,5233,2024,0,104.46,1910,0,315,0,1,307,2253.0,32.0,False,2,36,43,False,240.0
ws_n486,Z12,17188,plane,4,2.395,8,1.13,118.8,2,1523|576,,2099,0,6745,2100,0,117.06,2078,0,391,0,1,359,2246.0,29.0,False,4,34,48,False,240.1
ws_n486,Z12,17188,plane,5,2.514,10,15.85,104.08,2,1523|568,,2091,0,6703,2092,0,101.67,2078,0,383,0,1,359,2246.0,29.0,False,2,34,48,False,240.0
ws_n486,Z12,17188,plane,6,2.619,10,15.47,104.42,2,1523|560,,2083,0,6583,2084,0,103.75,2078,0,375,0,1,359,2246.0,29.0,False,1,34,48,False,240.0
ws_n486,Z12,17188,plane,7,2.535,9,13.94,105.5,3,1523|581|91,,2195,0,7207,2196,0,104.91,2181,0,396,0,1,376,2101.0,27.0,False,1,40,60,False,240.0
ws_n486,Z12,17188,plane,8,2.543,8,14.56,105.34,2,1523|581,,2104,0,6843,2105,0,104.6,2103,0,396,0,1,430,2200.0,29.0,False,3,37,67,False,240.0
ws_n486,Z12,17188,plane,9,2.405,8,12.75,105.79,3,1523|581|61,,2165,0,7083,2166,0,101.65,2103,0,396,0,1,430,2200.0,29.0,False,0,37,67,False,240.0
ws_n486,Z12,17188,xy,0,2.428,8,12.2,107.27,2,1661|560,,2221,0,3665,2222,0,94.14,2132,0,352,377,1,424,2189.0,32.0,False,3,32,63,False,240.0
ws_n486,Z12,17188,xy,1,2.628,10,13.58,106.0,2,1661|577,,2238,0,3723,2239,0,103.34,2226,0,352,394,1,476,2184.0,32.0,False,4,33,70,False,240.0
ws_n486,Z12,17188,xy,2,2.691,9,15.74,103.78,2,1661|654,,2315,0,4094,2316,0,101.3,2292,0,398,425,1,450,2178.0,33.0,False,4,35,60,False,240.0
ws_n486,Z12,17188,xy,3,2.385,8,14.15,105.79,2,1661|683,,2344,0,4481,2345,0,99.64,2292,0,427,425,1,450,2178.0,33.0,False,0,35,60,False,240.0
ws_n486,Z12,17188,xy,4,2.615,8,13.23,106.9,2,1661|561,,2222,0,3669,2223,0,93.68,2132,0,352,378,1,424,2189.0,32.0,False,4,32,63,False,240.0
ws_n486,Z12,17188,xy,5,2.66,9,13.35,106.58,2,1661|569,,2230,0,3684,2231,0,103.71,2226,0,352,386,1,476,2184.0,32.0,False,2,33,70,False,240.0
ws_n486,Z12,17188,xy,6,2.504,8,16.27,103.51,2,1661|650,,2311,0,4066,2312,0,101.29,2292,0,394,425,1,450,2178.0,33.0,False,6,35,60,False,240.0
ws_n486,Z12,17188,xy,7,2.716,10,12.62,107.22,2,1661|485,,2146,0,3532,2147,0,101.12,2132,0,352,302,1,424,2189.0,32.0,False,4,32,63,False,240.0
ws_n486,Z12,17188,xy,8,2.743,10,11.87,102.92,2,1661|473,,2134,0,3507,2135,0,102.45,2132,0,352,290,1,424,2189.0,32.0,False,4,32,63,False,240.0
ws_n486,Z12,17188,xy,9,2.628,10,13.78,106.04,2,1661|581,,2242,0,3746,2243,0,103.51,2226,0,352,398,1,476,2184.0,32.0,False,6,33,70,False,240.0
