cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.0,29.84,2,138|0,,138,0,10613,139,0,1.42,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,63.9
K100,Z12,,plane,1,7.26,8,0.0,29.8,2,138|0,,138,0,10589,139,0,1.4,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,62.6
K100,Z12,,plane,2,7.26,8,0.0,29.73,2,138|0,,138,0,10455,139,0,1.4,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,67.6
K100,Z12,,xy,0,7.26,8,0.0,29.81,1,228,,228,0,3774,229,0,1.44,98,0,1,99,1,0,1153.0,21.0,True,0,0,0,True,65.7
K100,Z12,,xy,1,7.26,8,0.0,29.83,1,228,,228,0,4001,229,0,1.5,98,0,1,99,1,0,1153.0,21.0,True,0,0,0,True,63.1
K100,Z12,,xy,2,7.26,8,0.0,29.87,1,228,,228,0,3622,229,0,1.44,98,0,1,99,1,0,1153.0,21.0,True,0,0,0,True,65.9
K140,Z12,,plane,0,9.757,10,0.0,29.85,1,188,,188,0,6347,189,0,3.2,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,69.0
K140,Z12,,plane,1,9.757,10,0.0,29.84,1,188,,188,0,6278,189,0,3.13,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,69.0
K140,Z12,,plane,2,9.757,10,0.0,29.76,1,188,,188,0,6389,189,0,3.09,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,68.6
K140,Z12,,xy,0,9.757,10,0.0,29.83,1,242,,242,0,370,243,0,3.11,159,0,0,60,1,0,2312.0,31.0,True,0,0,0,True,69.8
K140,Z12,,xy,1,9.757,10,0.0,29.95,1,242,,242,0,370,243,0,3.15,159,0,0,60,1,0,2312.0,31.0,True,0,0,0,True,69.8
K140,Z12,,xy,2,9.757,10,0.01,30.17,1,238,,238,0,370,239,0,3.22,159,0,0,56,1,0,2312.0,31.0,True,0,0,0,True,68.6
ER100_d10,Z12,,plane,0,4.56,8,0.07,13.61,6,375|103|39|71|4|0,,592,0,8708,593,0,5.06,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane,1,4.43,8,0.21,13.42,6,375|103|39|71|4|0,,592,0,8708,593,0,5.01,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane,2,4.27,7,0.05,13.46,6,375|103|39|71|4|0,,592,0,8708,593,0,4.97,474,0,202,0,1,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,xy,0,4.29,7,0.13,29.48,9,389|86|127|167|148|65|91|139|77,,1289,0,10954,1290,0,24.83,1095,0,592,342,1,0,661.0,19.0,True,0,0,0,True,60.1
ER100_d10,Z12,,xy,1,4.34,8,0.07,29.77,9,389|86|127|167|148|65|91|139|85,,1297,0,11022,1298,0,24.97,1095,0,600,342,1,0,661.0,19.0,True,0,0,0,True,60.1
ER100_d10,Z12,,xy,2,4.53,8,0.17,29.67,9,389|86|127|167|148|65|91|139|93,,1305,0,11179,1306,0,24.67,1095,0,608,342,1,0,661.0,19.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,0,9.253,12,0.0,29.56,1,203,,203,0,7582,204,0,4.1,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,63.1
turan_n162,Z12,2647,plane,1,9.593,13,0.01,29.75,1,190,,190,0,7087,191,0,3.08,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,61.1
turan_n162,Z12,2647,plane,2,9.253,12,0.0,29.72,1,203,,203,0,7664,204,0,4.14,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.8
turan_n162,Z12,2647,plane,3,9.253,12,0.0,29.74,1,203,,203,0,7468,204,0,4.27,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.6
turan_n162,Z12,2647,plane,4,9.222,12,0.0,29.67,1,203,,203,0,7526,204,0,4.11,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.8
turan_n162,Z12,2647,plane,5,9.611,13,0.0,29.71,1,190,,190,0,7207,191,0,3.14,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,61.8
turan_n162,Z12,2647,plane,6,9.253,12,0.0,29.94,1,203,,203,0,6612,204,0,3.93,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,65.9
turan_n162,Z12,2647,plane,7,9.611,13,0.0,29.93,1,190,,190,0,6427,191,0,2.97,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,61.6
turan_n162,Z12,2647,plane,8,9.611,13,0.0,29.93,1,190,,190,0,6681,191,0,2.89,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,60.6
