topo,n,p,inst_seed,arm,base_seed,K,per_run_s,status,success,n_success,acl,acl_spur,max_chain,qubits,time,err
P16,100,0.2,101,mm-bo1x60,4,1,60.0,SUCCESS,1,1,10.46,9.88,18,1046,7.9813,
P16,100,0.2,101,mm-bo1x60,2,1,60.0,SUCCESS,1,1,10.3,9.81,17,1030,9.2378,
P16,100,0.2,101,mm-bo1x60,1,1,60.0,SUCCESS,1,1,9.81,9.3,16,981,12.0373,
P16,100,0.2,102,mm-bo1x60,4,1,60.0,SUCCESS,1,1,9.59,9.24,15,959,14.3426,
P16,100,0.2,102,mm-bo1x60,3,1,60.0,SUCCESS,1,1,9.68,9.22,15,968,14.4385,
P16,100,0.2,101,mm-bo1x60,3,1,60.0,SUCCESS,1,1,9.65,9.32,16,965,15.0805,
P16,100,0.2,102,mm-bo1x60,1,1,60.0,SUCCESS,1,1,9.63,9.22,16,963,16.1133,
P16,100,0.2,103,mm-bo1x60,0,1,60.0,SUCCESS,1,1,9.66,9.18,16,966,16.4227,
P16,100,0.2,103,mm-bo1x60,1,1,60.0,SUCCESS,1,1,9.41,9.0,17,941,16.8034,
P16,100,0.2,102,mm-bo1x60,0,1,60.0,SUCCESS,1,1,9.34,8.9,15,934,18.8267,
P16,100,0.2,102,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.43,8.97,16,943,19.144,
P16,100,0.2,101,mm-bo1x60,0,1,60.0,SUCCESS,1,1,9.58,9.2,16,958,21.0882,
P16,100,0.2,103,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.5,9.23,16,950,18.9128,
P16,100,0.2,103,mm-bo1x60,4,1,60.0,SUCCESS,1,1,9.9,9.41,16,990,12.5423,
P16,100,0.2,103,mm-bo1x60,3,1,60.0,SUCCESS,1,1,10.45,9.95,17,1045,15.4395,
P16,100,0.2,101,mm-bo3x20,2,3,20.0,SUCCESS,1,3,9.9,9.34,17,990,32.3519,
P16,100,0.2,101,mm-bo3x20,4,3,20.0,SUCCESS,1,3,9.9,9.35,16,990,32.8714,
P16,100,0.2,104,mm-bo1x60,0,1,60.0,SUCCESS,1,1,9.83,9.38,15,983,9.0523,
P16,100,0.2,101,mm-bo3x20,1,3,20.0,SUCCESS,1,3,9.79,9.41,16,979,37.3042,
P16,100,0.2,101,mm-bo3x20,3,3,20.0,SUCCESS,1,3,9.26,8.92,15,926,40.4917,
P16,100,0.2,102,mm-bo3x20,2,3,20.0,SUCCESS,1,3,9.43,8.97,16,943,41.4834,
P16,100,0.2,102,mm-bo3x20,1,3,20.0,SUCCESS,1,3,9.1,8.67,15,910,42.673,
P16,100,0.2,102,mm-bo3x20,4,3,20.0,SUCCESS,1,3,9.23,8.91,15,923,48.2164,
P16,100,0.2,103,mm-bo3x20,1,3,20.0,SUCCESS,1,3,9.41,9.0,17,941,50.3479,
P16,100,0.2,103,mm-bo3x20,0,3,20.0,SUCCESS,1,3,9.55,9.12,16,955,50.9043,
P16,100,0.2,102,mm-bo3x20,0,3,20.0,SUCCESS,1,3,9.34,8.9,15,934,51.9923,
P16,100,0.2,104,mm-bo1x60,1,1,60.0,SUCCESS,1,1,9.44,9.11,15,944,19.1914,
P16,100,0.2,104,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.41,9.21,17,941,10.9899,
P16,100,0.2,102,mm-bo3x20,3,3,20.0,SUCCESS,1,3,9.3,8.92,15,930,53.2093,
P16,100,0.2,101,mm-bo6x10,2,6,10.0,SUCCESS,1,6,9.83,9.3,17,983,53.6403,
P16,100,0.2,101,mm-bo3x20,0,3,20.0,SUCCESS,1,3,9.55,9.08,15,955,54.0771,
P16,100,0.2,102,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.54,9.06,16,954,57.8146,
P16,100,0.2,102,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.29,8.83,16,929,58.3885,
P16,100,0.2,101,mm-bo6x10,4,6,10.0,SUCCESS,1,6,9.9,9.35,16,990,59.0991,
P16,100,0.2,103,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.68,9.22,16,968,60.0291,
P16,100,0.2,101,mm-bo6x10,3,6,10.0,SUCCESS,1,6,9.26,8.92,15,926,60.6785,
P16,100,0.2,102,mm-bo6x10,3,6,10.0,SUCCESS,1,6,9.41,8.97,16,941,61.0276,
P16,100,0.2,101,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.79,9.41,16,979,61.1341,
P16,100,0.2,103,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.68,9.25,14,968,61.1184,
P16,100,0.2,102,mm-bo6x10,4,6,10.0,SUCCESS,1,6,9.32,8.99,15,932,61.2067,
P16,100,0.2,102,mm-bo6x10,2,6,10.0,SUCCESS,1,6,9.42,8.98,16,942,61.3374,
P16,100,0.2,101,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.75,9.38,16,975,61.6205,
P16,100,0.2,102,mm-bo12x5,2,12,5.0,SUCCESS,1,12,9.98,9.43,17,998,61.7115,
P16,100,0.2,102,mm-bo12x5,0,12,5.0,SUCCESS,1,12,9.99,9.49,17,999,61.8077,
P16,100,0.2,103,mm-bo12x5,0,12,5.0,SUCCESS,1,12,10.26,9.68,17,1026,62.0611,
