topo,n,p,inst_seed,arm,algo_seed,status,success,acl,acl_spur,acl_pre,max_chain,qubits,time,n_edges,err
P16,60,1.0,101,template,-1,SUCCESS,1,6.7333,6.7333,6.8,7,404,0.0121,1770,
P16,60,1.0,101,clique,-1,SUCCESS,1,6.8,6.7333,,7,408,0.0285,1770,
P16,100,1.0,101,template,-1,SUCCESS,1,9.78,9.78,9.82,10,978,0.0486,4950,
P16,100,1.0,101,clique,-1,SUCCESS,1,9.82,9.78,,10,982,0.0299,4950,
P16,60,1.0,101,pssa,0,SUCCESS,1,6.6333,6.6333,,7,398,0.3695,1770,
P16,60,1.0,101,pssa,4,SUCCESS,1,6.6333,6.6333,,7,398,0.365,1770,
P16,60,1.0,101,pssa,1,SUCCESS,1,6.6333,6.6333,,7,398,0.3747,1770,
P16,60,1.0,101,pssa,3,SUCCESS,1,6.6333,6.6333,,7,398,0.4291,1770,
P16,60,1.0,101,pssa,2,SUCCESS,1,6.6333,6.6333,,7,398,0.4484,1770,
P16,100,1.0,101,pssa,0,SUCCESS,1,9.98,9.98,,11,998,0.4728,4950,
P16,100,1.0,101,pssa,1,SUCCESS,1,9.98,9.98,,11,998,0.4862,4950,
P16,100,1.0,101,pssa,2,SUCCESS,1,9.98,9.98,,11,998,0.4795,4950,
P16,100,1.0,101,pssa,4,SUCCESS,1,9.98,9.98,,11,998,0.4767,4950,
P16,100,1.0,101,pssa,3,SUCCESS,1,9.98,9.98,,11,998,0.4955,4950,
P16,60,1.0,101,clmm,2,SUCCESS,1,6.7167,6.7,,7,403,3.3188,1770,
P16,60,1.0,101,clmm,3,SUCCESS,1,6.7667,6.7333,,7,406,3.3806,1770,
P16,60,1.0,101,clmm,0,SUCCESS,1,6.7667,6.7167,,7,406,3.5024,1770,
P16,60,1.0,101,clmm,4,SUCCESS,1,6.7167,6.6833,,7,403,3.714,1770,
P16,60,1.0,101,clmm,1,SUCCESS,1,6.7167,6.6833,,7,403,3.764,1770,
P16,60,1.0,101,mmfork-cuthill,2,SUCCESS,1,7.45,6.9833,,11,447,4.83,1770,
P16,60,1.0,101,minorminer,4,SUCCESS,1,7.0333,6.7667,,10,422,6.3067,1770,
P16,60,1.0,101,minorminer,3,SUCCESS,1,7.5833,7.0,,10,455,6.886,1770,
P16,140,1.0,101,template,-1,SUCCESS,1,13.1714,13.1714,13.8286,14,1844,0.1687,9730,
P16,140,1.0,101,clique,-1,SUCCESS,1,13.8286,13.1714,,14,1936,0.0187,9730,
P16,60,1.0,101,mmfork-cuthill,0,SUCCESS,1,7.1833,6.8667,,9,431,7.9573,1770,
P16,60,1.0,101,mmfork-cuthill,1,SUCCESS,1,7.35,6.9667,,10,441,8.0119,1770,
P16,140,1.0,101,pssa,0,SUCCESS,1,13.3143,13.3143,,14,1864,0.6224,9730,
P16,140,1.0,101,pssa,1,SUCCESS,1,13.3143,13.3143,,14,1864,0.6125,9730,
P16,140,1.0,101,pssa,2,SUCCESS,1,13.3143,13.3143,,14,1864,0.617,9730,
P16,140,1.0,101,pssa,3,SUCCESS,1,13.3143,13.3143,,14,1864,0.6236,9730,
P16,60,1.0,101,minorminer,0,SUCCESS,1,7.9833,7.3667,,12,479,8.8679,1770,
P16,140,1.0,101,pssa,4,SUCCESS,1,13.3143,13.3143,,14,1864,0.6048,9730,
P16,60,1.0,101,mmfork-cuthill,3,SUCCESS,1,8.4333,7.8333,,12,506,11.393,1770,
P16,60,1.0,101,minorminer,1,SUCCESS,1,7.3333,6.9667,,10,440,12.9677,1770,
P16,60,1.0,101,mmfork-cuthill,4,SUCCESS,1,7.8667,7.3,,11,472,16.1912,1770,
P16,100,1.0,101,clmm,3,SUCCESS,1,9.77,9.75,,10,977,22.5436,4950,
P16,100,1.0,101,clmm,2,SUCCESS,1,9.79,9.77,,10,979,26.3168,4950,
P16,100,1.0,101,clmm,0,SUCCESS,1,9.81,9.78,,10,981,27.0679,4950,
P16,100,1.0,101,clmm,1,SUCCESS,1,9.8,9.78,,10,980,27.0882,4950,
P16,60,1.0,101,minorminer,2,SUCCESS,1,8.1667,7.5333,,11,490,27.9262,1770,
P16,100,1.0,101,clmm,4,SUCCESS,1,9.8,9.78,,10,980,28.5986,4950,
P16,60,1.0,101,attraction,4,SUCCESS,1,8.75,7.9333,,14,525,29.4328,1770,
P16,100,1.0,101,minorminer,4,SUCCESS,1,11.79,10.76,,17,1179,29.8907,4950,
P16,60,1.0,101,attraction,2,SUCCESS,1,8.5833,7.9833,,12,515,33.4459,1770,
P16,60,1.0,101,attraction,0,SUCCESS,1,8.2167,7.4833,,12,493,35.5928,1770,
P16,60,1.0,101,attraction,3,SUCCESS,1,8.2167,7.5167,,11,493,36.6339,1770,
P16,100,1.0,101,mmfork-cuthill,0,SUCCESS,1,12.75,11.82,,21,1275,41.3366,4950,
P16,100,1.0,101,mmfork-cuthill,1,SUCCESS,1,13.52,12.35,,19,1352,48.4206,4950,
P16,100,1.0,101,minorminer,3,SUCCESS,1,11.32,10.58,,15,1132,60.0537,4950,
P16,100,1.0,101,minorminer,1,SUCCESS,1,14.62,13.07,,23,1462,60.122,4950,
P16,60,1.0,101,attraction,1,SUCCESS,1,7.8167,7.2833,,10,469,60.5051,1770,
P16,180,1.0,101,template,-1,SUCCESS,1,16.6444,16.6444,16.6667,17,2996,0.2973,16110,
P16,180,1.0,101,clique,-1,SUCCESS,1,16.6667,16.6444,,17,3000,0.0221,16110,
P16,100,1.0,101,mmfork-cuthill,4,SUCCESS,1,13.35,12.11,,20,1335,60.6318,4950,
P16,180,1.0,101,pssa,0,SUCCESS,1,16.6444,16.6444,,17,2996,0.5536,16110,
P16,100,1.0,101,attraction,1,SUCCESS,1,15.57,13.55,,25,1557,60.9793,4950,
P16,100,1.0,101,mmfork-cuthill,3,SUCCESS,1,13.39,12.29,,22,1339,61.2641,4950,
P16,180,1.0,101,pssa,1,SUCCESS,1,16.6444,16.6444,,17,2996,0.5583,16110,
P16,100,1.0,101,mmfork-cuthill,2,SUCCESS,1,12.03,11.09,,17,1203,61.2119,4950,
P16,180,1.0,101,pssa,2,SUCCESS,1,16.6444,16.6444,,17,2996,0.5587,16110,
P16,100,1.0,101,attraction,2,SUCCESS,1,14.97,13.27,,24,1497,61.0963,4950,
P16,100,1.0,101,minorminer,2,SUCCESS,1,13.99,12.7,,21,1399,61.3387,4950,
P16,100,1.0,101,attraction,4,SUCCESS,1,15.6,13.59,,25,1560,60.9069,4950,
P16,100,1.0,101,minorminer,0,SUCCESS,1,13.35,12.18,,22,1335,61.374,4950,
P16,180,1.0,101,pssa,3,SUCCESS,1,16.6444,16.6444,,17,2996,0.5659,16110,
P16,100,1.0,101,attraction,0,SUCCESS,1,16.63,14.2,,28,1663,61.5104,4950,
P16,180,1.0,101,pssa,4,SUCCESS,1,16.6444,16.6444,,17,2996,0.5555,16110,
P16,100,1.0,101,attraction,3,SUCCESS,1,16.47,13.77,,27,1647,61.5024,4950,
P16,140,1.0,101,minorminer,0,SUCCESS,1,20.45,18.0571,,39,2863,61.5306,9730,
P16,40,0.9,101,minorminer,3,SUCCESS,1,5.35,5.15,,8,214,1.5048,698,
P16,140,1.0,101,minorminer,2,SUCCESS,1,22.1571,19.5357,,38,3102,61.4273,9730,
P16,40,0.9,101,minorminer,2,SUCCESS,1,5.7,5.2,,8,228,1.7222,698,
P16,140,1.0,101,minorminer,1,SUCCESS,1,23.1214,19.8214,,39,3237,61.8372,9730,
P16,140,1.0,101,minorminer,4,SUCCESS,1,24.1286,20.9714,,37,3378,62.1728,9730,
P16,40,0.9,101,clmm,0,SUCCESS,1,4.75,4.7,,5,190,0.8156,698,
P16,40,0.9,101,minorminer,0,SUCCESS,1,4.925,4.7,,7,197,2.4273,698,
P16,40,0.9,101,template,-1,SUCCESS,1,4.7,4.7,4.8,5,188,0.0052,698,
P16,140,1.0,101,clmm,2,SUCCESS,1,13.7429,13.7286,,14,1924,60.0942,9730,
P16,40,0.9,101,clique,-1,SUCCESS,1,4.8,4.7,,5,192,0.0178,698,
P16,40,0.9,101,mmfork-cuthill,2,SUCCESS,1,5.175,5.025,,7,207,1.808,698,
P16,40,0.9,101,clmm,1,SUCCESS,1,4.775,4.7,,5,191,0.7674,698,
P16,40,0.9,101,mmfork-cuthill,0,SUCCESS,1,5.025,4.775,,7,201,2.2233,698,
P16,40,0.9,101,pssa,0,SUCCESS,1,4.95,4.95,,6,198,0.2758,698,
P16,40,0.9,101,pssa,1,SUCCESS,1,4.95,4.95,,6,198,0.2888,698,
P16,40,0.9,101,pssa,2,SUCCESS,1,4.95,4.95,,6,198,0.2883,698,
P16,40,0.9,101,mmfork-cuthill,1,SUCCESS,1,4.95,4.85,,7,198,2.2355,698,
P16,40,0.9,101,clmm,2,SUCCESS,1,4.7,4.65,,5,188,0.7422,698,
P16,40,0.9,101,pssa,3,SUCCESS,1,4.95,4.95,,6,198,0.2824,698,
P16,140,1.0,101,mmfork-cuthill,1,SUCCESS,1,17.2929,15.7571,,28,2421,62.9729,9730,
P16,40,0.9,101,minorminer,1,SUCCESS,1,5.425,5.1,,7,217,2.8463,698,
P16,40,0.9,101,pssa,4,SUCCESS,1,4.95,4.95,,6,198,0.2926,698,
P16,40,0.9,101,clmm,3,SUCCESS,1,4.75,4.7,,5,190,0.8086,698,
P16,40,0.9,101,clmm,4,SUCCESS,1,4.725,4.675,,5,189,0.7232,698,
P16,140,1.0,101,minorminer,3,SUCCESS,1,22.9286,19.7714,,37,3210,63.3509,9730,
P16,140,1.0,101,mmfork-cuthill,0,SUCCESS,1,23.1143,19.9,,38,3236,63.2877,9730,
P16,140,1.0,101,mmfork-cuthill,2,SUCCESS,1,20.5143,18.3143,,34,2872,63.4694,9730,
P16,140,1.0,101,mmfork-cuthill,4,SUCCESS,1,24.3,20.9643,,40,3402,60.8658,9730,
