topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
P16,100,0.2,101,1,race8-seq,SUCCESS,1,8.38,8.38,10,838,60.174,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.174,""arms"":{""0"":[""template"",""floor"",8.38],""1"":[""mm"",""dropped:r1"",11.5],""2"":[""mm"",""dropped:r1"",12.24],""3"":[""mm"",""dropped:r1"",11.35],""4"":[""mm"",""dropped:r2"",10.14],""5"":[""cuthill"",""dropped:r2"",10.2],""6"":[""clmm"",""dropped:r3"",8.9],""7"":[""clmm-core"",""final"",8.69]}}"
P16,100,0.2,101,1,bestof8-seq,SUCCESS,1,9.75,9.37,16,975,60.0335,mm[run0],989,,"{""per_run_s"":7.5,""accs"":[9.75,10.39,9.98,10.25,9.83,10.32,10.35,10.47]}"
P16,100,0.2,101,1,bestof8-par,SUCCESS,1,9.34,8.97,15,934,17.8059,mm[run0],989,,"{""per_run_s"":60.0,""accs"":[9.34,10.39,9.98,9.91,9.62,9.78,9.39,9.9],""used_s"":[17.8,10.2,10.6,14.2,12.7,15.4,17.1,15.5]}"
P16,100,0.2,101,1,race8-par,SUCCESS,1,8.38,8.38,10,838,60.2249,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.225,""arms"":{""0"":[""template"",""floor"",8.38],""1"":[""mm"",""dropped:r1"",11.36],""2"":[""mm"",""dropped:r1"",12.79],""3"":[""mm"",""dropped:r1"",11.47],""4"":[""mm"",""dropped:r2"",10.05],""5"":[""cuthill"",""dropped:r2"",10.2],""6"":[""clmm"",""dropped:r3"",8.79],""7"":[""clmm-core"",""final"",8.68]}}"
P16,100,0.2,101,4,race8-seq,SUCCESS,1,8.38,8.38,10,838,60.1138,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.113,""arms"":{""0"":[""template"",""floor"",8.38],""1"":[""mm"",""dropped:r2"",10.8],""2"":[""mm"",""dropped:r1"",10.87],""3"":[""mm"",""dropped:r1"",12.55],""4"":[""mm"",""dropped:r1"",11.08],""5"":[""cuthill"",""dropped:r2"",9.7],""6"":[""clmm"",""dropped:r3"",8.79],""7"":[""clmm-core"",""final"",8.71]}}"
P16,100,0.2,101,4,bestof8-seq,SUCCESS,1,10.06,9.66,16,1006,60.392,mm[run6],989,,"{""per_run_s"":7.5,""accs"":[10.34,10.44,10.36,10.07,10.5,10.22,10.06,10.47]}"
P16,100,0.2,101,4,bestof8-par,SUCCESS,1,9.36,8.97,15,936,18.3368,mm[run5],989,,"{""per_run_s"":60.0,""accs"":[9.44,9.86,9.63,9.82,10.5,9.36,9.63,10.1],""used_s"":[17.7,15.4,16.8,14.4,8.7,16.2,18.3,13.8]}"
P16,100,0.2,101,4,race8-par,SUCCESS,1,8.38,8.38,10,838,60.2451,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.245,""arms"":{""0"":[""template"",""floor"",8.38],""1"":[""mm"",""dropped:r2"",10.8],""2"":[""mm"",""dropped:r1"",10.87],""3"":[""mm"",""dropped:r1"",12.55],""4"":[""mm"",""dropped:r1"",11.08],""5"":[""cuthill"",""dropped:r2"",9.64],""6"":[""clmm"",""dropped:r3"",8.79],""7"":[""clmm-core"",""final"",8.69]}}"
P16,100,0.2,101,3,race8-seq,SUCCESS,1,8.38,8.38,10,838,60.1548,template[0]@template,989,,"{""final_survivor"":6,""elapsed_s"":60.155,""arms"":{""0"":[""template"",""floor"",8.38],""1"":[""mm"",""dropped:r1"",12.62],""2"":[""mm"",""dropped:r1"",12.13],""3"":[""mm"",""dropped:r2"",10.69],""4"":[""mm"",""dropped:r1"",11.57],""5"":[""cuthill"",""dropped:r2"",10.15],""6"":[""clmm"",""final"",8.73],""7"":[""clmm-core"",""dropped:r3"",9.11]}}"
P16,100,0.2,101,3,bestof8-seq,SUCCESS,1,9.92,9.32,16,992,60.3151,mm[run0],989,,"{""per_run_s"":7.5,""accs"":[9.92,10.38,10.35,10.42,10.68,10.4,9.92,10.85]}"
P16,100,0.2,101,3,bestof8-par,SUCCESS,1,9.41,8.98,16,941,19.1562,mm[run5],989,,"{""per_run_s"":60.0,""accs"":[9.92,9.78,9.84,9.42,9.74,9.41,9.87,9.43],""used_s"":[12.7,16.1,15.3,17.2,15.7,17.3,14.8,19.1]}"
P16,100,0.2,101,3,race8-par,SUCCESS,1,8.38,8.38,10,838,60.2151,template[0]@template,989,,"{""final_survivor"":6,""elapsed_s"":60.215,""arms"":{""0"":[""template"",""floor"",8.38],""1"":[""mm"",""dropped:r1"",12.62],""2"":[""mm"",""dropped:r1"",12.13],""3"":[""mm"",""dropped:r2"",10.69],""4"":[""mm"",""dropped:r1"",11.57],""5"":[""cuthill"",""dropped:r2"",10.1],""6"":[""clmm"",""final"",8.72],""7"":[""clmm-core"",""dropped:r3"",9.11]}}"
P16,100,0.2,101,0,race8-seq,SUCCESS,1,8.38,8.38,10,838,60.3237,template[0]@template,989,,"{""final_survivor"":6,""elapsed_s"":60.323,""arms"":{""0"":[""template"",""floor"",8.38],""1"":[""mm"",""dropped:r1"",13.75],""2"":[""mm"",""dropped:r2"",10.4],""3"":[""mm"",""dropped:r1"",13.76],""4"":[""mm"",""dropped:r1"",12.24],""5"":[""cuthill"",""dropped:r2"",9.51],""6"":[""clmm"",""final"",8.66],""7"":[""clmm-core"",""dropped:r3"",8.7]}}"
P16,100,0.2,101,0,bestof8-seq,SUCCESS,1,9.85,9.42,17,985,60.1175,mm[run1],989,,"{""per_run_s"":7.5,""accs"":[9.98,9.85,10.85,10.6,10.32,10.04,10.19,10.95]}"
