topo,n,arm,seed,success,acl,acl_spur,wall
P16,140,minorminer,21,1,18.02857142857143,16.021428571428572,39.25
P16,140,minorminer,22,1,14.57857142857143,13.6,53.82
P16,140,minorminer,18,1,16.32857142857143,15.207142857142857,60.12
P16,140,minorminer,17,1,18.792857142857144,16.714285714285715,60.83
P16,140,minorminer,19,1,20.785714285714285,18.178571428571427,60.9
P16,140,minorminer,15,1,15.607142857142858,14.585714285714285,61.6
P16,140,minorminer,16,1,19.035714285714285,16.7,61.43
P16,140,minorminer,20,1,21.507142857142856,18.964285714285715,62.14
P16,140,minorminer,23,1,16.521428571428572,15.32857142857143,47.14
P16,140,minorminer,26,1,18.84285714285714,16.785714285714285,45.4
P16,140,minorminer,24,1,15.592857142857143,14.521428571428572,61.99
P16,140,minorminer,25,1,19.1,16.857142857142858,62.15
P16,140,minorminer,29,1,15.55,14.478571428571428,61.03
P16,140,minorminer,27,1,19.942857142857143,17.742857142857144,61.73
P16,140,p3-ate,15,1,13.17142857142857,13.17142857142857,61.72
P16,140,minorminer,28,1,17.714285714285715,15.607142857142858,62.68
P16,140,p3-ate,16,1,13.17142857142857,13.17142857142857,60.71
P16,140,p3-ate,21,1,13.17142857142857,13.17142857142857,38.62
P16,140,p3-ate,17,1,13.17142857142857,13.17142857142857,62.94
P16,140,p3-ate,23,1,13.17142857142857,13.17142857142857,47.69
P16,140,p3-ate,18,1,13.17142857142857,13.17142857142857,62.07
P16,140,p3-ate,19,1,13.17142857142857,13.17142857142857,61.42
P16,140,p3-ate,22,1,13.17142857142857,13.17142857142857,60.8
P16,140,p3-ate,20,1,13.17142857142857,13.17142857142857,62.17
P16,140,p3-ate,24,1,13.17142857142857,13.17142857142857,61.75
P16,140,p3-ate,26,1,13.17142857142857,13.17142857142857,47.47
P16,140,p3-ate,25,1,13.17142857142857,13.17142857142857,60.98
P16,140,p3-ate,27,1,13.17142857142857,13.17142857142857,62.39
P16,140,p3-ate,28,1,13.17142857142857,13.17142857142857,61.44
P16,140,p3-clmm,15,1,13.764285714285714,13.735714285714286,57.88
P16,140,p3-clmm,16,1,13.75,13.721428571428572,58.94
P16,140,p3-ate,29,1,13.17142857142857,13.17142857142857,60.69
P16,140,p3-clmm,17,1,13.771428571428572,13.75,57.78
P16,140,p3-clmm,18,1,13.757142857142858,13.735714285714286,54.11
P16,140,p3-clmm,19,1,13.764285714285714,13.742857142857142,52.51
P16,140,p3-clmm,20,1,13.757142857142858,13.75,51.1
P16,140,p3-clmm,21,1,13.757142857142858,13.742857142857142,53.21
P16,140,p3-clmm,22,1,13.785714285714286,13.771428571428572,55.46
P16,140,p3-clmm,23,1,13.757142857142858,13.728571428571428,56.19
P16,140,p3-clmm,24,1,13.778571428571428,13.764285714285714,57.66
P16,140,p3-clmm,25,1,13.742857142857142,13.707142857142857,55.01
P16,140,p3-clmm,26,1,13.764285714285714,13.757142857142858,54.6
P16,140,p3-clmm,27,1,13.778571428571428,13.757142857142858,57.03
P16,140,p3-clmm,28,1,13.764285714285714,13.75,53.74
P16,140,p3-clmm,29,1,13.764285714285714,13.75,55.31
P16,140,p3-mmpolish,15,1,15.607142857142858,14.585714285714285,60.72
P16,140,p3-mmpolish,16,1,19.0,16.885714285714286,62.54
P16,140,p3-mmpolish,17,1,18.792857142857144,16.714285714285715,62.65
P16,140,p3-mmpolish,18,1,16.32857142857143,15.207142857142857,60.12
P16,140,p3-mmpolish,19,1,20.785714285714285,18.178571428571427,62.34
P16,140,p3-mmpolish,20,1,21.507142857142856,18.964285714285715,62.54
P16,140,p3-mmpolish,21,1,15.864285714285714,15.728571428571428,60.56
P16,140,p3-mmpolish,22,1,13.6,13.6,60.43
P16,140,p3-mmpolish,23,1,15.32857142857143,15.32857142857143,60.36
P16,140,p3-mmpolish,24,1,15.592857142857143,14.521428571428572,61.82
P16,140,p3-mmpolish,25,1,19.1,16.857142857142858,62.92
P16,140,p3-mmpolish,26,1,16.59285714285714,16.442857142857143,60.31
P16,140,p3-mmpolish,27,1,19.942857142857143,17.742857142857144,62.77
P16,140,p3-mmpolish,28,1,17.714285714285715,15.607142857142858,61.74
P16,140,p3-mmpolish,29,1,15.55,14.478571428571428,62.82
P16,180,minorminer,15,0,,,66.74
P16,180,minorminer,16,0,,,67.93
P16,180,minorminer,17,0,,,66.19
P16,180,minorminer,18,0,,,65.25
P16,180,minorminer,19,0,,,67.83
P16,180,minorminer,20,0,,,69.04
P16,180,minorminer,21,0,,,67.34
P16,180,minorminer,22,0,,,70.08
P16,180,minorminer,23,0,,,72.45
P16,180,minorminer,24,0,,,63.92
P16,180,minorminer,25,0,,,69.67
P16,180,minorminer,26,0,,,68.85
P16,180,minorminer,27,0,,,65.31
P16,180,minorminer,28,0,,,70.27
P16,180,minorminer,29,0,,,68.95
P16,180,p3-ate,15,1,16.63888888888889,16.63888888888889,66.65
P16,180,p3-ate,16,1,16.63888888888889,16.63888888888889,67.89
P16,180,p3-ate,17,1,16.63888888888889,16.63888888888889,68.48
P16,180,p3-ate,18,1,16.63888888888889,16.63888888888889,67.48
P16,180,p3-ate,19,1,16.63888888888889,16.63888888888889,69.02
P16,180,p3-ate,20,1,16.63888888888889,16.63888888888889,66.74
P16,180,p3-ate,21,1,16.63888888888889,16.63888888888889,68.22
P16,180,p3-ate,22,1,16.63888888888889,16.63888888888889,70.33
P16,180,p3-ate,23,1,16.63888888888889,16.63888888888889,71.5
P16,180,p3-ate,24,1,16.63888888888889,16.63888888888889,63.46
P16,180,p3-ate,25,1,16.63888888888889,16.63888888888889,68.13
P16,180,p3-ate,27,1,16.63888888888889,16.63888888888889,66.56
P16,180,p3-ate,26,1,16.63888888888889,16.63888888888889,70.87
P16,180,p3-ate,28,1,16.63888888888889,16.63888888888889,66.79
P16,180,p3-clmm,15,1,16.666666666666668,16.644444444444446,62.27
P16,180,p3-ate,29,1,16.63888888888889,16.63888888888889,71.63
P16,180,p3-clmm,16,1,16.666666666666668,16.644444444444446,66.53
P16,180,p3-clmm,17,1,16.666666666666668,16.644444444444446,66.89
P16,180,p3-clmm,18,1,16.666666666666668,16.644444444444446,67.03
P16,180,p3-clmm,19,1,16.66111111111111,16.644444444444446,63.78
P16,180,p3-clmm,20,1,16.666666666666668,16.644444444444446,66.73
P16,180,p3-clmm,21,1,16.666666666666668,16.644444444444446,62.95
P16,180,p3-clmm,22,1,16.666666666666668,16.644444444444446,61.11
P16,180,p3-clmm,23,1,16.666666666666668,16.644444444444446,60.34
P16,180,p3-clmm,24,1,16.666666666666668,16.644444444444446,64.42
P16,180,p3-clmm,25,1,16.666666666666668,16.644444444444446,68.15
P16,180,p3-clmm,26,1,16.666666666666668,16.644444444444446,69.52
P16,180,p3-clmm,27,1,16.666666666666668,16.644444444444446,64.42
P16,180,p3-clmm,28,1,16.666666666666668,16.644444444444446,61.18
P16,180,p3-clmm,29,1,16.666666666666668,16.644444444444446,62.6
P16,180,p3-mmpolish,15,0,,,69.3
P16,180,p3-mmpolish,16,0,,,67.25
P16,180,p3-mmpolish,17,0,,,67.2
P16,180,p3-mmpolish,18,0,,,64.99
P16,180,p3-mmpolish,20,0,,,66.73
P16,180,p3-mmpolish,19,0,,,69.39
P16,180,p3-mmpolish,21,0,,,67.49
P16,180,p3-mmpolish,22,0,,,68.98
P16,180,p3-mmpolish,24,0,,,61.78
P16,180,p3-mmpolish,23,0,,,72.37
P16,180,p3-mmpolish,25,0,,,69.31
P16,180,p3-mmpolish,26,0,,,70.24
P16,180,p3-mmpolish,27,0,,,67.73
P16,180,p3-mmpolish,29,0,,,68.3
P16,180,p3-mmpolish,28,0,,,69.67
Z12,140,minorminer,15,1,19.742857142857144,16.521428571428572,60.7
Z12,140,minorminer,16,1,17.814285714285713,15.0,60.6
Z12,140,minorminer,17,1,18.27857142857143,15.25,60.85
Z12,140,minorminer,18,1,17.285714285714285,14.65,62.11
Z12,140,minorminer,19,0,,,62.94
Z12,140,minorminer,20,1,16.864285714285714,14.314285714285715,60.52
Z12,140,minorminer,22,1,18.021428571428572,15.392857142857142,61.81
Z12,140,minorminer,21,1,17.085714285714285,14.5,62.25
Z12,140,minorminer,23,1,19.714285714285715,16.3,60.87
Z12,140,minorminer,24,1,18.007142857142856,15.428571428571429,60.29
Z12,140,minorminer,25,0,,,63.64
