topo,n,p,inst,arm,seed,success,acl,wall
P16,100,0.3,101,minorminer,10,1,12.37,11.712
P16,100,0.3,101,minorminer,11,1,11.49,25.234
P16,100,0.3,101,minorminer-layout,10,1,11.63,21.992
P16,100,0.3,101,minorminer-layout,11,1,11.68,21.705
P16,100,0.3,101,p3-template,10,1,9.07,0.436
P16,100,0.3,101,p3-template,11,1,9.07,0.432
P16,100,0.3,101,p3-ate,10,1,9.07,12.125
P16,100,0.3,101,p3-ate,11,1,9.07,26.005
P16,100,0.3,101,p3-clmm,10,1,9.28,7.969
P16,100,0.3,101,p3-clmm,11,1,9.31,5.625
P16,100,0.3,101,p3-mmpolish,10,1,11.35,60.058
P16,100,0.3,101,p3-mmpolish,11,1,10.6,60.062
P16,100,0.3,102,minorminer,10,1,11.04,31.815
P16,100,0.3,102,minorminer,11,1,11.27,40.220
P16,100,0.3,102,minorminer-layout,10,1,10.91,48.208
P16,100,0.3,102,minorminer-layout,11,1,11.37,24.766
P16,100,0.3,102,p3-template,10,1,9.12,0.396
P16,100,0.3,102,p3-template,11,1,9.12,0.395
P16,100,0.3,102,p3-ate,10,1,9.12,32.228
P16,100,0.3,102,p3-ate,11,1,9.12,40.970
P16,100,0.3,102,p3-clmm,10,1,9.81,4.758
P16,100,0.3,102,p3-clmm,11,1,9.76,5.782
P16,100,0.3,102,p3-mmpolish,10,1,10.48,60.021
P16,100,0.3,102,p3-mmpolish,11,1,10.58,60.267
P16,100,0.3,103,minorminer,10,1,10.61,41.059
P16,100,0.3,103,minorminer,11,1,11.55,19.687
P16,100,0.3,103,minorminer-layout,10,1,12.03,17.107
P16,100,0.3,103,minorminer-layout,11,1,11.43,28.733
P16,100,0.3,103,p3-template,10,1,9.11,0.328
P16,100,0.3,103,p3-template,11,1,9.11,0.325
P16,100,0.3,103,p3-ate,10,1,9.11,41.189
P16,100,0.3,103,p3-ate,11,1,9.11,19.939
P16,100,0.3,103,p3-clmm,10,1,9.46,6.849
P16,100,0.3,103,p3-clmm,11,1,9.8,5.304
P16,100,0.3,103,p3-mmpolish,10,1,10.04,60.080
