topo,n,p,inst_seed,assignment,status,acl_pre,acl_spur,obj_sim,qubits,time,detail,err
P16,100,0.3,102,identity,SUCCESS,9.82,9.5,957,950,0.0268,,
P16,100,0.3,102,cuthill,SUCCESS,9.82,9.44,948,944,0.0322,,
P16,100,0.3,102,spectral,SUCCESS,9.82,9.43,950,943,0.2148,,
P16,100,0.3,102,shipped,SUCCESS,9.82,9.12,913,912,0.1058,"{""seed_order"":""cuthill"",""obj_seed"":948,""obj_final"":913,""complete_skip"":false}",
P16,100,0.3,102,rand-00,SUCCESS,9.82,9.45,953,945,0.0201,,
P16,100,0.3,102,rand-01,SUCCESS,9.82,9.51,962,951,0.0343,,
P16,100,0.3,102,rand-02,SUCCESS,9.82,9.49,958,949,0.022,,
P16,100,0.3,102,rand-03,SUCCESS,9.82,9.56,960,956,0.0237,,
P16,100,0.3,102,rand-04,SUCCESS,9.82,9.51,958,951,0.0216,,
P16,100,0.3,102,rand-05,SUCCESS,9.82,9.54,961,954,0.0341,,
P16,100,0.3,102,rand-06,SUCCESS,9.82,9.54,962,954,0.0322,,
P16,100,0.3,102,rand-07,SUCCESS,9.82,9.48,959,948,0.0226,,
P16,100,0.3,102,rand-08,SUCCESS,9.82,9.5,956,950,0.0235,,
P16,100,0.3,102,rand-09,SUCCESS,9.82,9.45,950,945,0.035,,
P16,100,0.3,102,rand-10,SUCCESS,9.82,9.47,953,947,0.0225,,
P16,100,0.3,102,rand-11,SUCCESS,9.82,9.45,954,945,0.028,,
P16,100,0.3,102,rand-12,SUCCESS,9.82,9.56,962,956,0.0257,,
P16,100,0.3,102,rand-13,SUCCESS,9.82,9.46,955,946,0.0362,,
P16,100,0.3,102,rand-14,SUCCESS,9.82,9.49,957,949,0.0331,,
P16,100,0.3,102,rand-15,SUCCESS,9.82,9.51,954,951,0.0256,,
P16,100,0.3,102,rand-16,SUCCESS,9.82,9.51,959,951,0.0241,,
P16,100,0.3,102,rand-17,SUCCESS,9.82,9.48,953,948,0.0233,,
P16,100,0.3,102,rand-18,SUCCESS,9.82,9.37,940,937,0.0201,,
P16,100,0.3,102,rand-19,SUCCESS,9.82,9.51,958,951,0.0291,,
P16,100,0.3,102,rand-20,SUCCESS,9.82,9.4,949,940,0.0232,,
P16,100,0.3,102,rand-21,SUCCESS,9.82,9.52,959,952,0.0223,,
P16,100,0.3,102,rand-22,SUCCESS,9.82,9.42,948,942,0.0309,,
P16,100,0.3,102,rand-23,SUCCESS,9.82,9.58,961,958,0.0248,,
P16,100,0.3,102,rand-24,SUCCESS,9.82,9.41,949,941,0.0344,,
P16,100,0.3,102,rand-25,SUCCESS,9.82,9.44,954,944,0.0249,,
P16,100,0.3,102,rand-26,SUCCESS,9.82,9.49,957,949,0.0346,,
P16,100,0.3,102,rand-27,SUCCESS,9.82,9.46,952,946,0.0282,,
P16,100,0.3,102,rand-28,SUCCESS,9.82,9.42,946,942,0.0377,,
P16,100,0.3,102,rand-29,SUCCESS,9.82,9.42,948,942,0.0288,,
P16,100,0.3,102,rand-30,SUCCESS,9.82,9.55,963,955,0.0273,,
P16,100,0.3,102,rand-31,SUCCESS,9.82,9.51,958,951,0.0282,,
P16,100,0.3,103,identity,SUCCESS,9.82,9.42,950,942,0.0288,,
P16,100,0.3,103,cuthill,SUCCESS,9.82,9.46,959,946,0.0265,,
P16,100,0.3,103,spectral,SUCCESS,9.82,9.46,954,946,0.2286,,
