cell,n,p,inst_seed,algo_seed,stage,acl,acl_best,time_cum
P16:100:0.1,100,0.1,101,5,q0legal,10.07,10.07,0.64
P16:100:0.1,100,0.1,101,5,q1,5.45,5.45,7.68
P16:100:0.1,100,0.1,101,5,q2,5.09,5.09,14.8
P16:100:0.1,100,0.1,101,5,q3,5.09,5.09,21.84
P16:100:0.1,100,0.1,101,5,q4,5.09,5.09,28.91
P16:100:0.1,100,0.1,101,5,q5,5.09,5.09,35.93
P16:100:0.1,100,0.1,101,5,q6,5.09,5.09,42.96
P16:100:0.1,100,0.1,101,5,q7,4.88,4.88,49.98
P16:100:0.1,100,0.1,101,5,q8,4.86,4.86,57.03
P16:100:0.1,100,0.1,101,5,spur,4.76,4.76,57.04
P16:100:0.1,100,0.1,101,3,q0legal,8.81,8.81,0.54
P16:100:0.1,100,0.1,101,3,q1,5.56,5.56,7.62
P16:100:0.1,100,0.1,101,3,q2,5.54,5.54,14.71
P16:100:0.1,100,0.1,101,3,q3,5.42,5.42,21.78
P16:100:0.1,100,0.1,101,3,q4,5.42,5.42,28.82
P16:100:0.1,100,0.1,101,3,q5,5.48,5.42,35.86
P16:100:0.1,100,0.1,101,3,q6,5.39,5.39,42.91
P16:100:0.1,100,0.1,101,3,q7,5.39,5.39,50.07
P16:100:0.1,100,0.1,101,3,q8,5.39,5.39,57.17
P16:100:0.1,100,0.1,101,3,spur,5.27,5.27,57.19
P16:100:0.1,100,0.1,101,7,q0legal,8.78,8.78,0.66
P16:100:0.1,100,0.1,101,7,q1,5.48,5.48,7.68
P16:100:0.1,100,0.1,101,7,q2,5.25,5.25,14.7
P16:100:0.1,100,0.1,101,7,q3,5.25,5.25,21.78
P16:100:0.1,100,0.1,101,7,q4,5.15,5.15,28.79
P16:100:0.1,100,0.1,101,7,q5,5.15,5.15,35.91
P16:100:0.1,100,0.1,101,7,q6,5.15,5.15,42.99
P16:100:0.1,100,0.1,101,7,q7,5.15,5.15,50.08
P16:100:0.1,100,0.1,101,7,q8,5.15,5.15,57.19
P16:100:0.1,100,0.1,101,7,spur,5.06,5.06,57.2
P16:100:0.1,100,0.1,101,6,q0legal,9.01,9.01,0.63
P16:100:0.1,100,0.1,101,6,q1,5.68,5.68,7.65
P16:100:0.1,100,0.1,101,6,q2,5.11,5.11,14.78
P16:100:0.1,100,0.1,101,6,q3,5.04,5.04,21.82
P16:100:0.1,100,0.1,101,6,q4,5.1,5.04,28.93
P16:100:0.1,100,0.1,101,6,q5,5.09,5.04,35.98
P16:100:0.1,100,0.1,101,6,q6,5.09,5.04,43.01
P16:100:0.1,100,0.1,101,6,q7,5.09,5.04,50.06
P16:100:0.1,100,0.1,101,6,q8,5.1,5.04,57.22
P16:100:0.1,100,0.1,101,6,spur,4.94,4.94,57.23
P16:100:0.1,100,0.1,101,1,q0legal,8.73,8.73,0.75
P16:100:0.1,100,0.1,101,1,q1,5.73,5.73,7.8
P16:100:0.1,100,0.1,101,1,q2,5.27,5.27,14.91
P16:100:0.1,100,0.1,101,1,q3,5.4,5.27,21.98
