cells=[(100, 0.1), (140, 0.2), (100, 0.5)]  inst_seeds=[101, 102, 103]  algo_seeds=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]  tasks to run=144  workers=8
budget/task: 8s legalize + 8x7s polish quanta (+ spur <= 5s, outside the budget)  csv=p3_rank_stability.csv
[1/144     57s] n100 p0.1 i101 s5: legal 10.07 -> 5.45 5.09 5.09 5.09 5.09 5.09 4.88 4.86 | best 4.86 spur 4.76 ovl 0.08 | 57.0s
[2/144     57s] n100 p0.1 i101 s3: legal 8.81 -> 5.56 5.54 5.42 5.42 5.48 5.39 5.39 5.39 | best 5.39 spur 5.27 ovl 0.15 | 57.2s
[3/144     57s] n100 p0.1 i101 s7: legal 8.78 -> 5.48 5.25 5.25 5.15 5.15 5.15 5.15 5.15 | best 5.15 spur 5.06 ovl 0.13 | 57.2s
[4/144     57s] n100 p0.1 i101 s6: legal 9.01 -> 5.68 5.11 5.04 5.10 5.09 5.09 5.09 5.10 | best 5.04 spur 4.94 ovl 0.10 | 57.2s
[5/144     57s] n100 p0.1 i101 s1: legal 8.73 -> 5.73 5.27 5.40 5.16 5.08 5.22 5.22 5.15 | best 5.08 spur 5.00 ovl 0.14 | 57.3s
[6/144     58s] n100 p0.1 i101 s2: legal 9.63 -> 5.59 5.34 5.19 4.96 5.01 5.01 5.01 5.01 | best 4.96 spur 4.89 ovl 0.10 | 57.5s
[7/144     58s] n100 p0.1 i101 s0: legal 8.38 -> 5.69 5.48 5.31 5.27 5.36 5.24 5.25 5.25 | best 5.24 spur 5.16 ovl 0.11 | 57.5s
[8/144     58s] n100 p0.1 i101 s4: legal 8.50 -> 5.29 5.27 5.20 5.19 5.10 5.16 5.16 5.15 | best 5.10 spur 5.02 ovl 0.11 | 57.7s
[9/144    115s] n100 p0.1 i101 s8: legal 9.06 -> 5.29 5.26 5.28 5.29 5.29 5.29 5.25 5.25 | best 5.25 spur 5.20 ovl 0.10 | 57.4s
[10/144    115s] n100 p0.1 i101 s9: legal 8.91 -> 5.32 5.33 5.27 5.30 5.33 5.33 5.33 5.33 | best 5.27 spur 5.20 ovl 0.15 | 57.5s
[11/144    115s] n100 p0.1 i101 s13: legal 9.48 -> 5.62 5.47 5.39 5.38 5.37 5.40 5.40 5.35 | best 5.35 spur 5.23 ovl 0.13 | 57.4s
[12/144    115s] n100 p0.1 i101 s14: legal 8.64 -> 5.92 5.63 5.46 5.46 5.46 5.46 5.46 5.46 | best 5.46 spur 5.36 ovl 0.15 | 57.4s
[13/144    115s] n100 p0.1 i101 s12: legal 9.12 -> 5.46 5.19 4.93 4.97 4.97 4.94 4.93 4.92 | best 4.92 spur 4.87 ovl 0.12 | 57.6s
[14/144    115s] n100 p0.1 i101 s10: legal 7.87 -> 5.50 5.12 5.10 5.10 5.10 5.10 5.10 5.10 | best 5.10 spur 5.01 ovl 0.16 | 57.7s
[15/144    115s] n100 p0.1 i101 s11: legal 8.12 -> 5.78 5.44 5.17 5.17 5.20 5.10 5.09 5.10 | best 5.09 spur 5.03 ovl 0.17 | 57.8s
[16/144    115s] n100 p0.1 i101 s15: legal 8.47 -> 5.79 5.58 5.53 5.52 5.53 5.53 5.53 5.53 | best 5.52 spur 5.37 ovl 0.14 | 57.5s
[17/144    172s] n100 p0.1 i102 s1: legal 8.09 -> 5.48 5.32 5.14 5.09 5.07 5.07 5.07 5.07 | best 5.07 spur 4.94 ovl 0.15 | 57.4s
[18/144    172s] n100 p0.1 i102 s3: legal 8.67 -> 5.51 5.49 5.49 5.32 5.32 5.33 5.18 5.26 | best 5.18 spur 5.10 ovl 0.07 | 57.2s
[19/144    172s] n100 p0.1 i102 s0: legal 8.53 -> 5.34 5.29 5.15 5.15 5.19 5.19 5.18 5.18 | best 5.15 spur 5.05 ovl 0.09 | 57.7s
[20/144    173s] n100 p0.1 i102 s6: legal 9.11 -> 5.51 5.38 5.28 5.29 5.20 5.10 5.06 5.05 | best 5.05 spur 4.96 ovl 0.09 | 57.3s
[21/144    173s] n100 p0.1 i102 s2: legal 9.16 -> 5.87 5.33 5.38 5.38 5.39 5.39 5.39 5.03 | best 5.03 spur 4.87 ovl 0.13 | 57.6s
[22/144    173s] n100 p0.1 i102 s5: legal 8.98 -> 5.77 5.50 5.44 5.44 5.38 5.31 5.27 5.19 | best 5.19 spur 5.10 ovl 0.10 | 57.5s
[23/144    173s] n100 p0.1 i102 s7: legal 8.44 -> 5.43 5.07 5.11 5.11 5.12 5.12 5.12 5.12 | best 5.07 spur 4.94 ovl 0.13 | 57.5s
[24/144    173s] n100 p0.1 i102 s4: legal 7.33 -> 5.42 5.39 5.07 5.07 5.07 5.07 5.08 5.11 | best 5.07 spur 4.98 ovl 0.19 | 57.8s
[25/144    230s] n100 p0.1 i102 s12: legal 9.97 -> 5.25 5.25 5.22 5.22 5.06 5.07 4.98 5.13 | best 4.98 spur 4.83 ovl 0.08 | 57.3s
[26/144    230s] n100 p0.1 i102 s8: legal 8.25 -> 5.50 5.26 5.11 5.01 5.02 5.05 5.04 5.04 | best 5.01 spur 4.92 ovl 0.12 | 57.8s
[27/144    230s] n100 p0.1 i102 s10: legal 8.47 -> 5.80 5.48 5.50 5.29 5.20 5.22 5.21 5.19 | best 5.19 spur 5.08 ovl 0.11 | 57.8s
[28/144    230s] n100 p0.1 i102 s11: legal 8.65 -> 5.58 5.32 5.41 5.15 5.13 5.12 5.12 5.12 | best 5.12 spur 4.97 ovl 0.14 | 57.7s
[29/144    230s] n100 p0.1 i102 s13: legal 8.32 -> 5.40 5.05 5.06 5.06 5.06 5.06 5.05 5.05 | best 5.05 spur 4.96 ovl 0.19 | 57.6s
[30/144    230s] n100 p0.1 i102 s9: legal 9.12 -> 5.49 5.22 5.09 5.05 5.17 5.17 5.17 5.17 | best 5.05 spur 4.93 ovl 0.08 | 58.0s
[31/144    230s] n100 p0.1 i102 s15: legal 8.98 -> 5.84 5.66 5.66 5.57 5.38 5.38 5.39 5.27 | best 5.27 spur 5.11 ovl 0.09 | 57.5s
[32/144    231s] n100 p0.1 i102 s14: legal 9.10 -> 5.43 5.36 5.27 5.18 5.20 5.19 5.19 5.16 | best 5.16 spur 5.07 ovl 0.09 | 57.8s
[33/144    287s] n100 p0.1 i103 s6: legal 8.24 -> 5.48 5.38 5.17 5.08 5.07 5.07 5.06 5.06 | best 5.06 spur 4.92 ovl 0.15 | 57.1s
[34/144    288s] n100 p0.1 i103 s1: legal 8.99 -> 5.41 5.29 5.33 5.32 5.36 5.35 5.35 5.33 | best 5.29 spur 5.12 ovl 0.12 | 57.6s
[35/144    288s] n100 p0.1 i103 s4: legal 8.74 -> 5.55 5.33 5.24 5.23 5.23 5.19 5.19 5.20 | best 5.19 spur 5.08 ovl 0.10 | 57.4s
[36/144    288s] n100 p0.1 i103 s3: legal 8.85 -> 5.61 5.23 5.31 5.16 5.16 5.16 5.16 5.13 | best 5.13 spur 5.04 ovl 0.13 | 57.5s
[37/144    288s] n100 p0.1 i103 s2: legal 8.25 -> 5.69 5.58 5.58 5.57 5.44 5.24 5.29 5.38 | best 5.24 spur 5.14 ovl 0.14 | 57.7s
[38/144    288s] n100 p0.1 i103 s0: legal 8.30 -> 5.85 5.41 5.16 5.15 5.06 5.06 5.07 4.98 | best 4.98 spur 4.88 ovl 0.10 | 58.1s
[39/144    288s] n100 p0.1 i103 s5: legal 7.78 -> 5.42 5.36 5.31 5.20 5.25 5.29 5.29 5.28 | best 5.20 spur 5.07 ovl 0.17 | 57.7s
[40/144    289s] n100 p0.1 i103 s7: legal 8.94 -> 5.38 5.27 5.16 5.16 5.15 5.15 5.15 5.14 | best 5.14 spur 5.04 ovl 0.10 | 58.0s
[41/144    345s] n100 p0.1 i103 s8: legal 8.64 -> 5.53 5.35 5.30 5.30 5.33 5.37 5.37 5.37 | best 5.30 spur 5.20 ovl 0.13 | 57.7s
[42/144    345s] n100 p0.1 i103 s12: legal 9.50 -> 5.47 5.47 5.44 5.38 5.38 5.38 5.38 5.36 | best 5.36 spur 5.24 ovl 0.09 | 57.4s
[43/144    345s] n100 p0.1 i103 s10: legal 9.64 -> 5.38 5.25 5.31 5.31 5.12 5.12 5.13 5.10 | best 5.10 spur 5.00 ovl 0.11 | 57.7s
[44/144    345s] n100 p0.1 i103 s9: legal 8.58 -> 5.55 5.37 5.22 5.04 5.07 4.95 5.00 5.00 | best 4.95 spur 4.92 ovl 0.11 | 57.8s
[45/144    346s] n100 p0.1 i103 s11: legal 8.71 -> 5.86 5.63 5.61 5.38 5.37 5.36 5.30 5.09 | best 5.09 spur 4.99 ovl 0.14 | 58.1s
[46/144    347s] n100 p0.1 i103 s14: legal 8.14 -> 5.76 5.17 5.20 5.18 5.14 5.14 5.14 5.08 | best 5.08 spur 4.96 ovl 0.17 | 58.6s
[47/144    347s] n100 p0.1 i103 s13: legal 9.09 -> 5.66 5.42 5.29 5.00 4.99 4.76 4.76 4.75 | best 4.75 spur 4.68 ovl 0.13 | 58.9s
[48/144    347s] n100 p0.1 i103 s15: legal 8.76 -> 5.75 5.32 5.35 5.35 5.35 5.28 5.29 5.35 | best 5.28 spur 5.22 ovl 0.08 | 58.4s
[49/144    412s] n140 p0.2 i101 s5: legal 22.94 -> 22.85 20.91 19.34 20.03 19.94 19.94 19.93 19.93 | best 19.34 spur 17.52 ovl 0.99 | 65.4s
[50/144    412s] n140 p0.2 i101 s4: legal 22.29 -> 22.20 22.13 22.11 23.06 22.94 20.38 20.35 20.08 | best 20.08 spur 17.90 ovl 0.98 | 66.2s
[51/144    413s] n140 p0.2 i101 s3: legal 23.72 -> 20.48 19.08 19.08 19.08 18.30 18.61 18.61 18.00 | best 18.00 spur 16.39 ovl 0.35 | 67.2s
