topo,n,p,inst_seed,arm,algo_seed,budget,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,180,0.1,101,dirty,2,5.0,SUCCESS,1,20.4889,18.9556,41,3688,5.0819,1618,
P16,180,0.1,101,audit1,0,5.0,SUCCESS,1,20.3611,18.9778,45,3665,5.1612,1618,
P16,180,0.1,101,stock,1,5.0,SUCCESS,1,19.8944,18.4111,39,3581,5.0768,1618,
P16,180,0.1,101,dirty,1,5.0,SUCCESS,1,19.8944,18.4111,39,3581,5.1199,1618,
P16,180,0.1,101,audit2,2,5.0,SUCCESS,1,20.3056,19.0833,45,3655,5.2209,1618,
P16,180,0.1,101,stock,0,5.0,SUCCESS,1,19.7167,18.3167,34,3549,5.2949,1618,
P16,180,0.1,101,stock,2,5.0,SUCCESS,1,20.4889,18.9556,41,3688,5.2844,1618,
P16,180,0.1,101,dirty,0,5.0,SUCCESS,1,19.7167,18.3167,34,3549,5.3096,1618,
P16,180,0.1,101,audit1,2,5.0,SUCCESS,1,20.5,18.8333,43,3690,5.2241,1618,
P16,180,0.1,101,audit2,0,5.0,SUCCESS,1,20.1833,18.9333,39,3633,5.31,1618,
P16,180,0.1,101,audit1,1,5.0,SUCCESS,1,20.2556,18.9889,44,3646,5.4526,1618,
P16,180,0.1,101,audit2,1,5.0,SUCCESS,1,19.7556,18.6333,42,3556,5.5147,1618,
P16,180,0.1,101,stock,3,5.0,SUCCESS,1,22.7778,21.1056,48,4100,5.1447,1618,
P16,180,0.1,101,dirty,3,5.0,SUCCESS,1,22.7778,21.1056,48,4100,5.1957,1618,
P16,180,0.1,101,audit1,3,5.0,SUCCESS,1,22.5056,20.8222,48,4051,5.2369,1618,
P16,180,0.1,101,audit2,3,5.0,SUCCESS,1,22.7667,21.0722,50,4098,5.4027,1618,
P16,180,0.1,101,dirty,2,15.0,SUCCESS,1,18.2444,16.9167,33,3284,13.3808,1618,
P16,180,0.1,101,stock,2,15.0,SUCCESS,1,18.2444,16.9167,33,3284,13.479,1618,
P16,180,0.1,101,audit2,1,15.0,SUCCESS,1,17.7,16.5667,33,3186,15.0723,1618,
P16,180,0.1,101,stock,1,15.0,SUCCESS,1,17.9722,16.8167,32,3235,15.0403,1618,
P16,180,0.1,101,dirty,1,15.0,SUCCESS,1,17.9722,16.8167,32,3235,15.0379,1618,
P16,180,0.1,101,audit2,2,15.0,SUCCESS,1,17.4611,16.2278,33,3143,15.1504,1618,
P16,180,0.1,101,audit1,0,15.0,SUCCESS,1,17.0944,16.1833,34,3077,15.2426,1618,
P16,180,0.1,101,stock,0,15.0,SUCCESS,1,17.8833,16.75,33,3219,15.2525,1618,
P16,180,0.1,101,dirty,0,15.0,SUCCESS,1,17.8833,16.75,33,3219,15.2817,1618,
P16,180,0.1,101,audit1,2,15.0,SUCCESS,1,18.2056,17.1111,42,3277,15.3925,1618,
P16,180,0.1,101,audit2,0,15.0,SUCCESS,1,17.4667,16.1389,31,3144,15.3806,1618,
P16,180,0.1,101,audit1,1,15.0,SUCCESS,1,17.8667,17.1222,40,3216,15.5971,1618,
