topo,n,kind,u,v,old_total,new_total,improved,subset_of_old,proven,region,nodes,time
P16,60,x1,0,-1,6,6,0,0,1,107,0,0.007
P16,60,x1,1,-1,6,6,0,0,1,107,0,0.0051
P16,60,x1,2,-1,7,7,0,0,1,121,35,0.0063
P16,60,x1,3,-1,7,7,0,0,1,121,35,0.0066
P16,60,x1,4,-1,7,7,0,0,1,101,17,0.0082
P16,60,x1,5,-1,7,7,0,0,1,101,17,0.0071
P16,60,x1,6,-1,6,6,0,0,1,92,0,0.0057
P16,60,x1,7,-1,6,6,0,0,1,92,0,0.0054
P16,60,x1,8,-1,7,6,1,0,1,115,6,0.0158
P16,60,x1,9,-1,7,6,1,0,1,115,6,0.0148
P16,60,x1,10,-1,7,7,0,0,1,105,20,0.0069
P16,60,x1,11,-1,7,7,0,0,1,105,20,0.0094
P16,60,x1,12,-1,7,7,0,0,1,109,20,0.0079
P16,60,x1,13,-1,7,7,0,0,1,109,20,0.0079
P16,60,x1,14,-1,7,7,0,0,1,103,14,0.0092
P16,60,x1,15,-1,7,7,0,0,1,103,14,0.0082
P16,60,x1,16,-1,7,7,0,0,1,107,40,0.0093
P16,60,x1,17,-1,7,7,0,0,1,107,40,0.0096
P16,60,x1,18,-1,6,6,0,0,1,70,0,0.0048
P16,60,x1,19,-1,6,6,0,0,1,70,0,0.0052
P16,60,x1,20,-1,7,7,0,0,1,109,0,0.006
P16,60,x1,21,-1,7,7,0,0,1,109,0,0.0061
P16,60,x1,22,-1,7,7,0,0,1,105,0,0.0065
P16,60,x1,23,-1,7,7,0,0,1,105,0,0.0061
P16,60,x1,24,-1,7,7,0,0,1,109,4,0.0068
P16,60,x1,25,-1,7,7,0,0,1,109,4,0.0069
P16,60,x1,26,-1,7,7,0,0,1,107,4,0.0069
P16,60,x1,27,-1,7,7,0,0,1,107,4,0.0073
P16,60,x1,28,-1,7,7,0,0,1,109,4,0.0072
P16,60,x1,29,-1,7,7,0,0,1,109,4,0.0075
P16,60,x1,30,-1,6,6,0,0,1,70,0,0.0054
P16,60,x1,31,-1,6,6,0,0,1,70,0,0.0065
P16,60,x1,32,-1,7,7,0,0,1,109,0,0.0069
P16,60,x1,33,-1,7,7,0,0,1,109,0,0.0067
P16,60,x1,34,-1,7,7,0,0,1,107,0,0.0069
P16,60,x1,35,-1,7,7,0,0,1,107,0,0.0072
P16,60,x1,36,-1,7,7,0,0,1,109,4,0.0068
P16,60,x1,37,-1,7,7,0,0,1,109,4,0.0068
P16,60,x1,38,-1,7,7,0,0,1,107,4,0.0072
P16,60,x1,39,-1,7,7,0,0,1,107,4,0.0077
P16,60,x1,40,-1,7,7,0,0,1,109,4,0.007
P16,60,x1,41,-1,7,7,0,0,1,109,4,0.0073
P16,60,x1,42,-1,6,6,0,0,1,70,0,0.0049
P16,60,x1,43,-1,6,6,0,0,1,70,0,0.005
P16,60,x1,44,-1,7,7,0,0,1,109,0,0.0078
P16,60,x1,45,-1,7,7,0,0,1,109,0,0.0067
P16,60,x1,46,-1,7,7,0,0,1,107,0,0.0059
P16,60,x1,47,-1,7,7,0,0,1,107,0,0.006
P16,60,x1,48,-1,7,7,0,0,1,113,6,0.007
P16,60,x1,49,-1,7,7,0,0,1,113,6,0.0083
P16,60,x1,50,-1,7,7,0,0,1,123,18,0.0103
P16,60,x1,51,-1,7,7,0,0,1,123,18,0.0083
P16,60,x1,52,-1,7,7,0,0,1,129,18,0.0097
P16,60,x1,53,-1,7,7,0,0,1,129,18,0.0098
P16,60,x1,54,-1,6,6,0,0,1,94,0,0.0063
P16,60,x1,55,-1,6,6,0,0,1,94,0,0.0067
P16,60,x1,56,-1,7,7,0,0,1,133,40,0.0102
P16,60,x1,57,-1,7,7,0,0,1,133,40,0.0094
P16,60,x1,58,-1,5,5,0,0,1,104,0,0.0062
P16,60,x1,59,-1,5,5,0,0,1,104,0,0.007
P16,60,x2,2,3,14,14,0,0,1,130,32532,1.1661
P16,60,x2,2,4,14,14,0,0,1,149,19574,1.3661
P16,60,x2,2,5,14,14,0,0,1,149,19574,1.3711
P16,60,x2,2,8,14,13,1,0,0,170,66816,5.0715
P16,60,x2,2,9,14,13,1,0,0,170,66816,5.0729
P16,60,x2,2,10,14,14,0,0,1,161,42164,1.7578
P16,60,x2,2,11,14,14,0,0,1,161,42164,1.7886
P16,60,x2,2,12,14,14,0,0,1,177,46910,2.4004
P16,60,x2,2,13,14,14,0,0,1,177,46910,2.4184
P16,60,x2,2,14,14,14,0,0,0,179,46080,5.0077
P16,60,x2,2,15,14,14,0,0,0,179,44800,5.0038
P16,60,x2,2,16,14,13,1,0,1,199,24551,3.0439
P16,60,x2,2,17,14,13,1,0,1,199,24551,3.0628
P16,60,x2,2,20,14,14,0,0,0,196,55040,5.0244
P16,60,x2,2,21,14,14,0,0,0,196,55296,5.0056
P16,60,x2,2,22,14,14,0,0,0,191,58112,5.0057
P16,60,x2,2,23,14,14,0,0,0,191,58368,5.0087
P16,60,x2,2,24,14,14,0,0,0,207,52224,5.0021
P16,60,x2,2,25,14,14,0,0,0,207,50688,5.0116
P16,60,x2,2,26,14,14,0,0,0,205,29184,5.0206
P16,60,x2,2,27,14,14,0,0,0,205,28416,5.0027
P16,60,x2,2,28,14,14,0,0,0,223,29952,5.0127
P16,60,x2,2,29,14,14,0,0,0,223,29952,5.0145
P16,60,x2,2,32,14,13,1,0,1,206,20046,2.3071
P16,60,x2,2,33,14,13,1,0,1,206,20043,2.3368
