topo,n,kind,u,v,old_total,new_total,improved,subset_of_old,proven,region,nodes,time
P4,20,x1,0,-1,2,2,0,0,1,52,0,0.0015
P4,20,x1,1,-1,2,2,0,0,1,52,0,0.0017
P4,20,x1,2,-1,3,3,0,0,1,68,1,0.002
P4,20,x1,3,-1,3,3,0,0,1,68,1,0.002
P4,20,x1,4,-1,3,3,0,0,1,64,1,0.0019
P4,20,x1,5,-1,3,3,0,0,1,64,1,0.0019
P4,20,x1,6,-1,3,2,1,0,1,82,2,0.0032
P4,20,x1,7,-1,3,2,1,0,1,82,2,0.0035
P4,20,x1,8,-1,2,2,0,0,1,52,0,0.0013
P4,20,x1,9,-1,2,2,0,0,1,52,0,0.0013
P4,20,x1,10,-1,3,3,0,0,1,88,0,0.0028
P4,20,x1,11,-1,3,3,0,0,1,88,0,0.0028
P4,20,x1,12,-1,3,3,0,0,1,72,0,0.0019
P4,20,x1,13,-1,3,3,0,0,1,72,0,0.0028
P4,20,x1,14,-1,3,3,0,0,1,78,0,0.0024
P4,20,x1,15,-1,3,3,0,0,1,78,0,0.0023
P4,20,x1,16,-1,3,3,0,0,1,89,0,0.0028
P4,20,x1,17,-1,3,3,0,0,1,89,0,0.0028
P4,20,x1,18,-1,2,2,0,0,1,58,0,0.0016
P4,20,x1,19,-1,2,2,0,0,1,58,0,0.002
P4,20,x2,2,3,6,6,0,0,1,72,177,0.0224
P4,20,x2,2,4,6,6,0,0,1,91,204,0.0368
P4,20,x2,2,5,6,6,0,0,1,91,204,0.0242
P4,20,x2,2,6,6,5,1,0,1,108,200,0.0446
P4,20,x2,2,7,6,5,1,0,1,108,200,0.0367
P4,20,x2,2,10,6,6,0,0,1,119,301,0.0569
P4,20,x2,2,11,6,6,0,0,1,119,301,0.0657
P4,20,x2,2,12,6,6,0,0,1,96,376,0.0499
P4,20,x2,2,13,6,6,0,0,1,96,376,0.0723
P4,20,x2,2,14,6,6,0,0,1,113,280,0.0457
P4,20,x2,2,15,6,6,0,0,1,113,280,0.0436
P4,20,x2,2,16,6,6,0,0,1,125,346,0.0613
P4,20,x2,2,17,6,6,0,0,1,125,346,0.068
P4,20,x2,3,4,6,6,0,0,1,91,204,0.0445
P4,20,x2,3,5,6,6,0,0,1,91,204,0.0219
P4,20,x2,3,6,6,5,1,0,1,108,207,0.0342
P4,20,x2,3,7,6,5,1,0,1,108,207,0.0386
P4,20,x2,3,10,6,6,0,0,1,119,301,0.06
P4,20,x2,3,11,6,6,0,0,1,119,301,0.0712
P4,20,x2,3,12,6,6,0,0,1,96,376,0.0524
P4,20,x2,3,13,6,6,0,0,1,96,376,0.0539
P4,20,x2,3,14,6,6,0,0,1,113,280,0.049
P4,20,x2,3,15,6,6,0,0,1,113,280,0.0523
P4,20,x2,3,16,6,6,0,0,1,125,346,0.0738
P4,20,x2,3,17,6,6,0,0,1,125,346,0.0541
P4,20,x2,4,5,6,6,0,0,1,68,134,0.0117
P4,20,x2,4,6,6,5,1,0,1,108,59,0.012
P4,20,x2,4,7,6,5,1,0,1,108,59,0.0133
P4,20,x2,4,10,6,6,0,0,1,112,180,0.032
P4,20,x2,4,11,6,6,0,0,1,112,180,0.0256
P4,20,x2,4,12,6,6,0,0,1,108,236,0.0311
P4,20,x2,4,13,6,6,0,0,1,108,236,0.0426
P4,20,x2,4,14,6,6,0,0,1,93,190,0.0324
P4,20,x2,4,15,6,6,0,0,1,93,190,0.0275
P4,20,x2,4,16,6,6,0,0,1,109,270,0.0479
P4,20,x2,4,17,6,6,0,0,1,109,270,0.0555
P4,20,x2,5,6,6,5,1,0,1,108,60,0.0135
P4,20,x2,5,7,6,5,1,0,1,108,60,0.0254
P4,20,x2,5,10,6,6,0,0,1,112,180,0.0362
P4,20,x2,5,11,6,6,0,0,1,112,180,0.0295
P4,20,x2,5,12,6,6,0,0,1,108,236,0.0375
P4,20,x2,5,13,6,6,0,0,1,108,236,0.045
P4,20,x2,5,14,6,6,0,0,1,93,190,0.0342
P4,20,x2,5,15,6,6,0,0,1,93,190,0.033
P4,20,x2,5,16,6,6,0,0,1,109,270,0.0503
P4,20,x2,5,17,6,6,0,0,1,109,270,0.0481
P4,20,x2,6,7,6,4,1,0,1,86,56,0.0158
P4,20,x2,6,10,6,5,1,0,1,117,39,0.0109
P4,20,x2,6,11,6,5,1,0,1,117,39,0.0114
P4,20,x2,6,12,6,5,1,0,1,107,63,0.0107
P4,20,x2,6,13,6,5,1,0,1,107,65,0.0103
P4,20,x2,6,14,6,5,1,0,1,127,24,0.0075
P4,20,x2,6,15,6,5,1,0,1,127,24,0.0068
P4,20,x2,6,16,6,5,1,0,1,128,27,0.0072
P4,20,x2,6,17,6,5,1,0,1,128,27,0.007
P4,20,x2,7,10,6,5,1,0,1,117,40,0.0126
P4,20,x2,7,11,6,5,1,0,1,117,40,0.0116
P4,20,x2,7,12,6,5,1,0,1,107,63,0.0099
P4,20,x2,7,13,6,5,1,0,1,107,65,0.0103
P4,20,x2,7,14,6,5,1,0,1,127,24,0.0071
P4,20,x2,7,15,6,5,1,0,1,127,24,0.0068
P4,20,x2,7,16,6,5,1,0,1,128,27,0.0111
P4,20,x2,7,17,6,5,1,0,1,128,27,0.007
P4,20,x2,10,11,6,6,0,0,1,92,0,0.0032
P4,20,x2,10,12,6,6,0,0,1,120,275,0.0667
P4,20,x2,10,13,6,6,0,0,1,120,275,0.0461
P4,20,x2,10,14,6,6,0,0,1,124,209,0.0397
P4,20,x2,10,15,6,6,0,0,1,124,209,0.0514
P4,20,x2,10,16,6,6,0,0,1,120,189,0.0321
P4,20,x2,10,17,6,6,0,0,1,120,189,0.0472
P4,20,x2,11,12,6,6,0,0,1,120,275,0.0564
P4,20,x2,11,13,6,6,0,0,1,120,275,0.0526
P4,20,x2,11,14,6,6,0,0,1,124,209,0.0528
P4,20,x2,11,15,6,6,0,0,1,124,209,0.0389
P4,20,x2,11,16,6,6,0,0,1,120,189,0.0461
P4,20,x2,11,17,6,6,0,0,1,120,189,0.0354
P4,20,x2,12,13,6,6,0,0,1,76,163,0.0164
P4,20,x2,12,14,6,6,0,0,1,117,231,0.0363
P4,20,x2,12,15,6,6,0,0,1,117,231,0.0476
P4,20,x2,12,16,6,6,0,0,1,119,223,0.0361
P4,20,x2,12,17,6,6,0,0,1,119,223,0.0346
P4,20,x2,13,14,6,6,0,0,1,117,231,0.0473
P4,20,x2,13,15,6,6,0,0,1,117,231,0.0412
P4,20,x2,13,16,6,6,0,0,1,119,223,0.0358
P4,20,x2,13,17,6,6,0,0,1,119,223,0.0485
