topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,60,0.1694915254237288,101,tree-union,tree,0,1,SUCCESS,1,4.35,4.1333,7,261,0.6872,301,
P16,60,0.1694915254237288,101,tree-sph,tree,2,2,SUCCESS,1,3.9833,3.95,7,239,0.6775,301,
P16,60,0.1694915254237288,101,tree-sph,tree,0,2,SUCCESS,1,4.05,3.9833,7,243,0.7796,301,
P16,60,0.1694915254237288,102,tree-union,tree,0,1,SUCCESS,1,3.95,3.8167,7,237,0.7593,283,
P16,60,0.1694915254237288,101,tree-sph,tree,4,2,SUCCESS,1,4.0833,4.0333,7,245,0.7939,301,
P16,60,0.1694915254237288,101,boltz-0.5,root,1,0.5,SUCCESS,1,4.5333,4.4,7,272,0.8252,301,
P16,60,0.1694915254237288,101,boltz-2.0,root,0,2.0,SUCCESS,1,4.5667,4.35,8,274,0.8509,301,
P16,60,0.1694915254237288,102,tree-sph,tree,0,2,SUCCESS,1,3.9167,3.85,7,235,0.8326,283,
P16,60,0.1694915254237288,102,stock,stock,0,,SUCCESS,1,3.8167,3.6833,7,229,0.8881,283,
P16,60,0.1694915254237288,101,boltz-2.0,root,1,2.0,SUCCESS,1,4.3667,4.3,7,262,0.9124,301,
P16,60,0.1694915254237288,101,tree-sph,tree,3,2,SUCCESS,1,4.1167,4.0667,7,247,0.9143,301,
P16,60,0.1694915254237288,101,boltz-8.0,root,1,8.0,SUCCESS,1,4.0667,4.0167,7,244,0.9854,301,
P16,60,0.1694915254237288,101,beta-16.0,beta,4,16.0,SUCCESS,1,3.9833,3.9167,7,239,0.9833,301,
P16,60,0.1694915254237288,101,stock,stock,4,,SUCCESS,1,3.9833,3.9167,7,239,0.9995,301,
P16,60,0.1694915254237288,101,tree-union,tree,4,1,SUCCESS,1,3.8833,3.7833,7,233,1.0184,301,
P16,60,0.1694915254237288,101,boltz-0.5,root,3,0.5,SUCCESS,1,3.9167,3.8333,7,235,1.0599,301,
P16,60,0.1694915254237288,101,boltz-2.0,root,2,2.0,SUCCESS,1,4.3,4.1667,7,258,1.1977,301,
P16,60,0.1694915254237288,101,boltz-8.0,root,3,8.0,SUCCESS,1,3.65,3.5833,6,219,1.2292,301,
P16,60,0.1694915254237288,101,boltz-8.0,root,2,8.0,SUCCESS,1,4.2,4.1667,7,252,1.2741,301,
P16,60,0.1694915254237288,101,boltz-8.0,root,4,8.0,SUCCESS,1,4.15,4.15,7,249,1.2688,301,
P16,60,0.1694915254237288,101,boltz-2.0,root,4,2.0,SUCCESS,1,3.7833,3.75,6,227,1.2717,301,
P16,60,0.1694915254237288,101,stock,stock,3,,SUCCESS,1,3.9833,3.85,7,239,1.3184,301,
P16,60,0.1694915254237288,101,tree-union,tree,1,1,SUCCESS,1,3.95,3.8667,7,237,1.3871,301,
P16,60,0.1694915254237288,101,tree-union,tree,2,1,SUCCESS,1,4.1333,4.0167,7,248,1.3846,301,
P16,60,0.1694915254237288,101,tree-sph,tree,1,2,SUCCESS,1,3.8833,3.8333,6,233,1.404,301,
P16,60,0.1694915254237288,101,boltz-0.5,root,0,0.5,SUCCESS,1,4.15,4.0667,7,249,1.4231,301,
P16,60,0.1694915254237288,101,beta-16.0,beta,1,16.0,SUCCESS,1,3.85,3.8,7,231,1.4224,301,
P16,60,0.1694915254237288,101,stock,stock,1,,SUCCESS,1,3.85,3.8,7,231,1.4285,301,
P16,60,0.1694915254237288,101,boltz-8.0,root,0,8.0,SUCCESS,1,4.0167,3.9333,7,241,1.4639,301,
P16,60,0.1694915254237288,101,boltz-0.5,root,2,0.5,SUCCESS,1,3.7,3.65,6,222,1.4941,301,
P16,60,0.1694915254237288,101,beta-dhat,beta,3,4.0,SUCCESS,1,3.9833,3.9,7,239,1.5302,301,
P16,60,0.1694915254237288,102,boltz-2.0,root,0,2.0,SUCCESS,1,3.9833,3.9167,7,239,0.866,283,
P16,60,0.1694915254237288,102,boltz-0.5,root,0,0.5,SUCCESS,1,4.0333,3.95,6,242,0.9134,283,
P16,60,0.1694915254237288,101,beta-16.0,beta,3,16.0,SUCCESS,1,3.75,3.6833,6,225,1.6476,301,
