topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,100,0.10101010101010101,101,tree-sph,tree,5,2,SUCCESS,1,5.92,5.86,12,592,2.0409,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,2,8.0,SUCCESS,1,6.43,6.12,12,643,2.3028,498,
P16,100,0.10101010101010101,101,tree-sph,tree,6,2,SUCCESS,1,5.43,5.36,11,543,2.7148,498,
P16,100,0.10101010101010101,101,tree-sph,tree,1,2,SUCCESS,1,5.47,5.35,11,547,2.7883,498,
P16,100,0.10101010101010101,101,tree-sph,tree,0,2,SUCCESS,1,5.59,5.49,11,559,2.9088,498,
P16,100,0.10101010101010101,101,stock,stock,2,,SUCCESS,1,6.09,5.83,11,609,2.974,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,2,16.0,SUCCESS,1,6.09,5.83,11,609,2.9954,498,
P16,100,0.10101010101010101,101,tree-sph,tree,7,2,SUCCESS,1,5.55,5.43,11,555,3.0208,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,7,5.0,SUCCESS,1,5.88,5.74,11,588,3.035,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,7,16.0,SUCCESS,1,5.74,5.56,11,574,3.2445,498,
P16,100,0.10101010101010101,101,stock,stock,7,,SUCCESS,1,5.74,5.56,11,574,3.2971,498,
P16,100,0.10101010101010101,101,tree-sph,tree,4,2,SUCCESS,1,5.7,5.59,11,570,3.4261,498,
P16,100,0.10101010101010101,101,tree-sph,tree,2,2,SUCCESS,1,5.58,5.47,11,558,3.4445,498,
P16,100,0.10101010101010101,101,tree-sph,tree,3,2,SUCCESS,1,5.66,5.56,11,566,3.5078,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,5,5.0,SUCCESS,1,5.85,5.7,11,585,3.5092,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,0,2.0,SUCCESS,1,6.12,5.83,12,612,3.7033,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,6,8.0,SUCCESS,1,6.18,6.01,12,618,3.6915,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,4,2.0,SUCCESS,1,5.98,5.87,11,598,3.7868,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,1,5.0,SUCCESS,1,5.98,5.81,11,598,3.7881,498,
P16,100,0.10101010101010101,101,stock,stock,1,,SUCCESS,1,5.77,5.53,11,577,3.8678,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,1,16.0,SUCCESS,1,5.77,5.53,11,577,3.8813,498,
P16,100,0.10101010101010101,101,stock,stock,6,,SUCCESS,1,5.9,5.68,11,590,3.9241,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,6,16.0,SUCCESS,1,5.9,5.68,11,590,3.9539,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,3,2.0,SUCCESS,1,5.51,5.33,11,551,4.0258,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,3,5.0,SUCCESS,1,6.06,5.92,11,606,4.0705,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,4,8.0,SUCCESS,1,5.59,5.41,11,559,4.1703,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,3,8.0,SUCCESS,1,5.86,5.65,11,586,4.2957,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,7,2.0,SUCCESS,1,5.76,5.6,11,576,4.5619,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,6,5.0,SUCCESS,1,5.73,5.53,10,573,4.7081,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,3,16.0,SUCCESS,1,5.65,5.5,10,565,4.8693,498,
P16,100,0.10101010101010101,101,stock,stock,3,,SUCCESS,1,5.65,5.5,10,565,4.8849,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,7,8.0,SUCCESS,1,5.41,5.32,10,541,4.8748,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,6,2.0,SUCCESS,1,5.46,5.36,10,546,5.0939,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,5,8.0,SUCCESS,1,5.53,5.47,10,553,5.1373,498,
P16,100,0.10101010101010101,101,tree-sph,tree,8,2,SUCCESS,1,6.12,6.05,10,612,2.8527,498,
P16,100,0.10101010101010101,101,tree-sph,tree,9,2,SUCCESS,1,5.69,5.58,11,569,2.2333,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,0,5.0,SUCCESS,1,5.75,5.66,10,575,5.3289,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,2,2.0,SUCCESS,1,5.49,5.35,10,549,5.4896,498,
P16,100,0.10101010101010101,101,stock,stock,4,,SUCCESS,1,5.95,5.73,11,595,5.5838,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,4,16.0,SUCCESS,1,5.95,5.73,11,595,5.5853,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,5,2.0,SUCCESS,1,5.64,5.43,11,564,5.7829,498,
P16,100,0.10101010101010101,101,stock,stock,8,,SUCCESS,1,5.78,5.58,12,578,3.8787,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,8,8.0,SUCCESS,1,6.26,6.02,11,626,3.2205,498,
P16,100,0.10101010101010101,101,stock,stock,9,,SUCCESS,1,6.01,5.74,11,601,3.0124,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,4,5.0,SUCCESS,1,5.37,5.24,10,537,6.0264,498,
P16,100,0.10101010101010101,101,stock,stock,10,,SUCCESS,1,6.0,5.81,12,600,2.6219,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,10,16.0,SUCCESS,1,5.81,5.65,11,581,2.4132,498,
P16,100,0.10101010101010101,101,beta-dhat,beta,2,5.0,SUCCESS,1,5.58,5.38,10,558,6.1871,498,
P16,100,0.10101010101010101,101,stock,stock,11,,SUCCESS,1,6.61,6.13,14,661,2.49,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,9,16.0,SUCCESS,1,6.01,5.74,11,601,3.0116,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,1,2.0,SUCCESS,1,5.85,5.69,11,585,6.4113,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,11,16.0,SUCCESS,1,6.61,6.13,14,661,2.4876,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,0,8.0,SUCCESS,1,5.62,5.47,11,562,6.6826,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,10,8.0,SUCCESS,1,5.78,5.57,11,578,3.3786,498,
P16,100,0.10101010101010101,101,tree-sph,tree,11,2,SUCCESS,1,5.11,5.04,11,511,3.3447,498,
P16,100,0.10101010101010101,101,tree-sph,tree,10,2,SUCCESS,1,5.5,5.36,11,550,3.7144,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,1,8.0,SUCCESS,1,5.76,5.61,11,576,7.3691,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,8,16.0,SUCCESS,1,5.52,5.36,10,552,4.4713,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,9,8.0,SUCCESS,1,5.63,5.48,10,563,4.2209,498,
P16,100,0.10101010101010101,101,stock,stock,12,,SUCCESS,1,5.61,5.47,11,561,3.4657,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,14,16.0,SUCCESS,1,6.44,6.25,13,644,1.7872,498,
P16,100,0.10101010101010101,101,boltz-2.0,root,11,2.0,SUCCESS,1,6.0,5.88,12,600,3.8291,498,
P16,100,0.10101010101010101,101,tree-sph,tree,12,2,SUCCESS,1,5.95,5.86,12,595,3.5412,498,
P16,100,0.10101010101010101,101,boltz-8.0,root,12,8.0,SUCCESS,1,6.21,6.01,12,621,3.191,498,
P16,100,0.10101010101010101,101,beta-16.0,beta,5,16.0,SUCCESS,1,5.56,5.39,10,556,7.8584,498,
P16,100,0.10101010101010101,101,stock,stock,5,,SUCCESS,1,5.56,5.39,10,556,7.8714,498,
P16,100,0.10101010101010101,101,stock,stock,13,,SUCCESS,1,6.14,5.87,11,614,2.9934,498,
P16,100,0.10101010101010101,101,tree-sph,tree,13,2,SUCCESS,1,5.43,5.33,10,543,3.0169,498,
