topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,100,0.10101010101010101,101,stock,stock,4,,SUCCESS,1,4.79,4.67,9,479,2.3058,498,
Z12,100,0.10101010101010101,102,stock,stock,6,,SUCCESS,1,4.69,4.59,9,469,2.2724,508,
Z12,100,0.10101010101010101,101,stock,stock,0,,SUCCESS,1,4.68,4.55,9,468,2.4748,498,
Z12,100,0.10101010101010101,101,stock,stock,9,,SUCCESS,1,5.03,4.87,9,503,2.456,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,4,5.0,SUCCESS,1,4.76,4.57,9,476,2.4975,498,
Z12,100,0.10101010101010101,101,stock,stock,8,,SUCCESS,1,5.0,4.86,10,500,2.6351,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,11,5.0,SUCCESS,1,4.86,4.69,8,486,2.7194,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,3,5.0,SUCCESS,1,5.49,5.23,10,549,2.941,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,14,5.0,SUCCESS,1,4.77,4.65,9,477,2.8966,498,
Z12,100,0.10101010101010101,102,stock,stock,2,,SUCCESS,1,4.56,4.38,9,456,2.9473,508,
Z12,100,0.10101010101010101,102,beta-dhat,beta,7,4.0,SUCCESS,1,4.7,4.52,10,470,2.9437,508,
Z12,100,0.10101010101010101,101,stock,stock,3,,SUCCESS,1,4.59,4.5,8,459,3.353,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,7,5.0,SUCCESS,1,4.62,4.48,8,462,3.3991,498,
Z12,100,0.10101010101010101,102,stock,stock,3,,SUCCESS,1,4.7,4.56,8,470,3.3756,508,
Z12,100,0.10101010101010101,101,beta-dhat,beta,13,5.0,SUCCESS,1,4.7,4.52,9,470,3.3948,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,8,5.0,SUCCESS,1,4.82,4.67,9,482,3.4869,498,
Z12,100,0.10101010101010101,102,beta-dhat,beta,6,4.0,SUCCESS,1,4.63,4.48,9,463,3.444,508,
Z12,100,0.10101010101010101,101,beta-dhat,beta,10,5.0,SUCCESS,1,4.57,4.47,8,457,3.6296,498,
Z12,100,0.10101010101010101,101,stock,stock,14,,SUCCESS,1,4.43,4.35,8,443,3.71,498,
Z12,100,0.10101010101010101,101,stock,stock,2,,SUCCESS,1,4.72,4.55,9,472,3.8391,498,
Z12,100,0.10101010101010101,101,stock,stock,7,,SUCCESS,1,4.78,4.63,9,478,3.9214,498,
Z12,100,0.10101010101010101,102,stock,stock,0,,SUCCESS,1,4.64,4.49,9,464,3.8716,508,
Z12,100,0.10101010101010101,101,stock,stock,13,,SUCCESS,1,4.4,4.27,8,440,3.8988,498,
Z12,100,0.10101010101010101,102,stock,stock,8,,SUCCESS,1,4.65,4.45,9,465,3.8729,508,
Z12,100,0.10101010101010101,101,stock,stock,11,,SUCCESS,1,4.65,4.49,8,465,4.0181,498,
Z12,100,0.10101010101010101,102,beta-dhat,beta,8,4.0,SUCCESS,1,4.26,4.15,8,426,4.0167,508,
Z12,100,0.10101010101010101,101,stock,stock,6,,SUCCESS,1,4.33,4.21,8,433,4.1919,498,
Z12,100,0.10101010101010101,101,stock,stock,1,,SUCCESS,1,4.51,4.35,8,451,4.2272,498,
Z12,100,0.10101010101010101,102,beta-dhat,beta,0,4.0,SUCCESS,1,4.71,4.47,9,471,4.1273,508,
Z12,100,0.10101010101010101,102,beta-dhat,beta,5,4.0,SUCCESS,1,4.8,4.65,9,480,4.1865,508,
Z12,100,0.10101010101010101,101,beta-dhat,beta,0,5.0,SUCCESS,1,4.47,4.4,8,447,4.3158,498,
Z12,100,0.10101010101010101,102,beta-dhat,beta,4,4.0,SUCCESS,1,4.88,4.71,9,488,4.2376,508,
Z12,100,0.10101010101010101,101,beta-dhat,beta,12,5.0,SUCCESS,1,4.77,4.6,10,477,4.3032,498,
Z12,100,0.10101010101010101,101,stock,stock,10,,SUCCESS,1,4.34,4.24,8,434,4.427,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,2,5.0,SUCCESS,1,4.42,4.3,8,442,4.6618,498,
Z12,100,0.10101010101010101,101,beta-dhat,beta,6,5.0,SUCCESS,1,4.58,4.45,8,458,4.659,498,
