topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,60,0.1694915254237288,101,boltz-2.0,root,0,2.0,SUCCESS,1,4.2833,4.15,7,257,1.0481,301,
P16,60,0.1694915254237288,101,tree-sph,tree,0,2,SUCCESS,1,3.7333,3.7333,6,224,1.3487,301,
P16,60,0.1694915254237288,101,tree-union,tree,0,1,SUCCESS,1,4.05,3.9333,6,243,1.7667,301,
P16,60,0.1694915254237288,101,stock,stock,0,,SUCCESS,1,3.8,3.8,6,228,1.8579,301,
P16,60,0.1694915254237288,101,beta-dhat,beta,0,4.0,SUCCESS,1,4.25,4.1333,7,255,1.6383,301,
P16,60,0.1694915254237288,101,beta-2.0,beta,0,2.0,TIMEOUT,0,,,,,8.3932,301,
P16,100,0.3,101,stock,stock,0,,SUCCESS,1,12.84,11.84,23,1284,8.0437,1461,
P16,100,0.3,101,tree-union,tree,0,1,SUCCESS,1,15.69,13.65,28,1569,8.1916,1461,
P16,100,0.3,101,tree-sph,tree,0,2,SUCCESS,1,16.76,15.71,27,1676,8.0178,1461,
P16,100,0.3,101,boltz-2.0,root,0,2.0,SUCCESS,1,14.15,13.2,23,1415,8.3705,1461,
P16,100,0.3,101,beta-2.0,beta,0,2.0,TIMEOUT,0,,,,,9.2963,1461,
P16,100,0.3,101,beta-dhat,beta,0,2.0,TIMEOUT,0,,,,,9.2855,1461,
