topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,4,,SUCCESS,1,4.76,4.57,9,476,2.1427,498,
Z12,100,0.10101010101010101,101,p3-mm-beta,arm,4,,SUCCESS,1,4.76,4.57,9,476,2.1913,498,
Z12,100,0.10101010101010101,103,p3-mm-beta-fb,arm,2,,SUCCESS,1,5.06,4.83,10,506,2.4615,500,
Z12,100,0.10101010101010101,103,p3-mm-beta,arm,2,,SUCCESS,1,5.06,4.83,10,506,2.4883,500,
Z12,100,0.10101010101010101,101,p3-mm-beta,arm,3,,SUCCESS,1,5.49,5.23,10,549,2.5467,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,3,,SUCCESS,1,5.49,5.23,10,549,2.551,498,
Z12,100,0.10101010101010101,103,p3-mm-beta-fb,arm,1,,SUCCESS,1,4.85,4.7,9,485,2.7039,500,
Z12,100,0.10101010101010101,103,p3-mm-beta,arm,1,,SUCCESS,1,4.85,4.7,9,485,2.8535,500,
Z12,100,0.10101010101010101,103,p3-mm-beta,arm,0,,SUCCESS,1,4.59,4.46,8,459,2.9293,500,
Z12,100,0.10101010101010101,103,p3-mm-beta-fb,arm,0,,SUCCESS,1,4.59,4.46,8,459,2.9396,500,
Z12,100,0.10101010101010101,103,p3-mm-beta,arm,4,,SUCCESS,1,4.48,4.36,8,448,3.0424,500,
Z12,100,0.10101010101010101,103,p3-mm-beta-fb,arm,4,,SUCCESS,1,4.48,4.36,8,448,3.0629,500,
Z12,100,0.10101010101010101,102,p3-mm-beta-fb,arm,0,,SUCCESS,1,4.71,4.47,9,471,3.7082,508,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,0,,SUCCESS,1,4.47,4.4,8,447,3.7423,498,
Z12,100,0.10101010101010101,102,p3-mm-beta,arm,0,,SUCCESS,1,4.71,4.47,9,471,3.7427,508,
Z12,100,0.10101010101010101,101,p3-mm-beta,arm,0,,SUCCESS,1,4.47,4.4,8,447,3.7842,498,
Z12,100,0.10101010101010101,102,p3-mm-beta,arm,4,,SUCCESS,1,4.88,4.71,9,488,3.7715,508,
Z12,100,0.10101010101010101,103,p3-mm-beta,arm,3,,SUCCESS,1,4.65,4.49,9,465,3.8017,500,
Z12,100,0.10101010101010101,103,p3-mm-beta-fb,arm,3,,SUCCESS,1,4.65,4.49,9,465,3.8134,500,
Z12,100,0.10101010101010101,102,p3-mm-beta-fb,arm,4,,SUCCESS,1,4.88,4.71,9,488,3.8281,508,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,2,,SUCCESS,1,4.42,4.3,8,442,4.059,498,
Z12,100,0.10101010101010101,101,p3-mm-beta,arm,2,,SUCCESS,1,4.42,4.3,8,442,4.1069,498,
Z12,100,0.10101010101010101,101,p3-mm-beta,arm,1,,SUCCESS,1,4.33,4.22,8,433,4.3157,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,1,,SUCCESS,1,4.33,4.22,8,433,4.343,498,
Z12,100,0.10101010101010101,102,p3-mm-beta-fb,arm,2,,SUCCESS,1,4.29,4.21,8,429,4.6618,508,
Z12,100,0.10101010101010101,102,p3-mm-beta,arm,2,,SUCCESS,1,4.29,4.21,8,429,4.7364,508,
Z12,100,0.10101010101010101,104,p3-mm-beta,arm,1,,SUCCESS,1,5.61,5.26,10,561,3.0827,495,
Z12,100,0.10101010101010101,104,p3-mm-beta,arm,0,,SUCCESS,1,4.88,4.79,9,488,3.153,495,
Z12,100,0.10101010101010101,104,p3-mm-beta,arm,4,,SUCCESS,1,4.59,4.5,8,459,2.9979,495,
Z12,100,0.10101010101010101,102,p3-mm-beta,arm,3,,SUCCESS,1,4.53,4.35,9,453,5.5694,508,
Z12,100,0.10101010101010101,102,p3-mm-beta-fb,arm,3,,SUCCESS,1,4.53,4.35,9,453,5.5698,508,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,0,,SUCCESS,1,4.88,4.79,9,488,3.1137,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,1,,SUCCESS,1,5.61,5.26,10,561,3.1313,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,4,,SUCCESS,1,4.59,4.5,8,459,2.9918,495,
Z12,100,0.10101010101010101,105,p3-mm-beta,arm,1,,SUCCESS,1,5.51,5.25,11,551,2.9176,522,
Z12,100,0.10101010101010101,104,p3-mm-beta,arm,2,,SUCCESS,1,4.53,4.39,8,453,3.7795,495,
Z12,100,0.10101010101010101,105,p3-mm-beta,arm,0,,SUCCESS,1,4.61,4.5,9,461,3.2405,522,
Z12,100,0.10101010101010101,102,p3-mm-beta,arm,1,,SUCCESS,1,4.63,4.4,9,463,6.3839,508,
Z12,100,0.10101010101010101,102,p3-mm-beta-fb,arm,1,,SUCCESS,1,4.63,4.4,9,463,6.4564,508,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,1,,SUCCESS,1,5.51,5.25,11,551,2.8494,522,
