topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
Z12,160,0.05,101,4,race8-seq,SUCCESS,1,4.825,4.7125,11,772,60.0499,mm[2]@q2,637,,"{""final_survivor"":2,""elapsed_s"":60.049,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r1"",5.5187],""2"":[""mm"",""final"",4.825],""3"":[""mm"",""dropped:r3"",4.925],""4"":[""mm"",""dropped:r2"",5.1063],""5"":[""cuthill"",""dropped:r2"",4.9437],""6"":[""clmm"",""dropped:r1"",5.7],""7"":[""clmm-core"",""dropped:r1"",5.6188]}}"
Z12,160,0.05,101,4,race9-seq,SUCCESS,1,4.8625,4.6875,10,778,60.0632,mm-beta[8]@q1,637,,"{""final_survivor"":8,""elapsed_s"":60.063,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r1"",5.5187],""2"":[""mm"",""dropped:r2"",5.1937],""3"":[""mm"",""survivor"",4.9313],""4"":[""mm"",""dropped:r1"",5.375],""5"":[""cuthill"",""dropped:r2"",4.9437],""6"":[""clmm"",""dropped:r1"",5.7],""7"":[""clmm-core"",""dropped:r1"",5.6188],""8"":[""mm-beta"",""final"",4.8625]}}"
Z12,160,0.05,101,4,race8-par,SUCCESS,1,4.725,4.6063,9,756,60.0346,mm[4]@final12,637,,"{""final_survivor"":4,""elapsed_s"":60.034,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r1"",5.5187],""2"":[""mm"",""dropped:r2"",5.0563],""3"":[""mm"",""dropped:r3"",4.9313],""4"":[""mm"",""final"",4.725],""5"":[""cuthill"",""dropped:r2"",4.9437],""6"":[""clmm"",""dropped:r1"",5.7],""7"":[""clmm-core"",""dropped:r1"",5.6188]}}"
Z12,160,0.05,101,4,race9-par,SUCCESS,1,4.55,4.4437,9,728,60.0469,mm-beta[8]@final10,637,,"{""final_survivor"":8,""elapsed_s"":60.046,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r1"",5.5187],""2"":[""mm"",""dropped:r1"",5.4313],""3"":[""mm"",""dropped:r2"",5.1437],""4"":[""mm"",""dropped:r3"",4.8937],""5"":[""cuthill"",""dropped:r2"",4.9437],""6"":[""clmm"",""dropped:r1"",5.7],""7"":[""clmm-core"",""dropped:r1"",5.775],""8"":[""mm-beta"",""final"",4.55]}}"
Z12,160,0.05,101,0,race8-seq,SUCCESS,1,4.8187,4.65,11,771,60.0145,mm[3]@q3,637,,"{""final_survivor"":3,""elapsed_s"":60.014,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r2"",5.05],""2"":[""mm"",""dropped:r1"",5.4688],""3"":[""mm"",""final"",4.8187],""4"":[""mm"",""dropped:r2"",5.0625],""5"":[""cuthill"",""dropped:r3"",4.9188],""6"":[""clmm"",""dropped:r1"",5.7125],""7"":[""clmm-core"",""dropped:r1"",6.5062]}}"
Z12,160,0.05,101,0,race9-seq,SUCCESS,1,4.675,4.5812,10,748,60.0956,mm-beta[8]@q2,637,,"{""final_survivor"":8,""elapsed_s"":60.095,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r1"",5.3438],""2"":[""mm"",""dropped:r1"",5.4688],""3"":[""mm"",""survivor"",4.9813],""4"":[""mm"",""dropped:r2"",5.0625],""5"":[""cuthill"",""dropped:r2"",5.3312],""6"":[""clmm"",""dropped:r1"",5.7125],""7"":[""clmm-core"",""dropped:r1"",6.5062],""8"":[""mm-beta"",""final"",4.675]}}"
Z12,160,0.05,101,0,race8-par,SUCCESS,1,4.6813,4.6,9,749,60.0583,mm[1]@final11,637,,"{""final_survivor"":1,""elapsed_s"":60.058,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""final"",4.6813],""2"":[""mm"",""dropped:r1"",5.4688],""3"":[""mm"",""dropped:r3"",4.925],""4"":[""mm"",""dropped:r2"",5.0625],""5"":[""cuthill"",""dropped:r2"",4.9813],""6"":[""clmm"",""dropped:r1"",5.7],""7"":[""clmm-core"",""dropped:r1"",6.5062]}}"
Z12,160,0.05,101,0,race9-par,SUCCESS,1,4.675,4.5187,10,748,60.0611,mm-beta[8]@final11,637,,"{""final_survivor"":8,""elapsed_s"":60.061,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r1"",5.45],""2"":[""mm"",""dropped:r1"",5.7438],""3"":[""mm"",""dropped:r3"",4.925],""4"":[""mm"",""dropped:r2"",5.0625],""5"":[""cuthill"",""dropped:r2"",5.2188],""6"":[""clmm"",""dropped:r1"",5.7125],""7"":[""clmm-core"",""dropped:r1"",6.5062],""8"":[""mm-beta"",""final"",4.675]}}"
Z12,160,0.05,101,3,race8-seq,SUCCESS,1,4.7875,4.675,10,766,60.0735,mm[3]@q1,637,,"{""final_survivor"":3,""elapsed_s"":60.073,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r3"",4.8375],""2"":[""mm"",""dropped:r1"",5.3875],""3"":[""mm"",""final"",4.7875],""4"":[""mm"",""dropped:r2"",5.0563],""5"":[""cuthill"",""dropped:r2"",5.0062],""6"":[""clmm"",""dropped:r1"",5.975],""7"":[""clmm-core"",""dropped:r1"",5.3625]}}"
Z12,160,0.05,101,3,race9-seq,SUCCESS,1,4.7062,4.5375,11,753,60.0396,mm-beta[8]@q2,637,,"{""final_survivor"":8,""elapsed_s"":60.039,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",7.1937],""1"":[""mm"",""dropped:r2"",4.8375],""2"":[""mm"",""dropped:r1"",5.3875],""3"":[""mm"",""survivor"",4.7875],""4"":[""mm"",""dropped:r1"",5.2938],""5"":[""cuthill"",""dropped:r2"",5.0938],""6"":[""clmm"",""dropped:r1"",5.975],""7"":[""clmm-core"",""dropped:r1"",5.3625],""8"":[""mm-beta"",""final"",4.7062]}}"
