graph_id,arm,seed,success,acl,wall
32426,minorminer,52,1,1.216,26.18
32432,minorminer,52,1,1.5889,36.35
32426,minorminer,51,1,1.2829,36.79
32426,p3-ember,52,1,1.1957,37.91
32442,minorminer,51,1,1.3127,53.9
32442,minorminer,52,1,1.3577,27.82
32442,minorminer,50,1,1.3175,56.72
32426,p3-ember,51,1,1.246,59.28
32432,p3-ember,52,1,1.5751,60.01
32426,p3-ember,50,0,,61.16
32432,p3-ember,50,0,,61.3
32432,minorminer,51,0,,61.31
32426,minorminer,50,0,,61.35
32432,p3-ember,51,0,,61.83
32432,minorminer,50,0,,61.95
32472,minorminer,52,1,1.3286,12.85
32472,minorminer,50,1,1.5179,13.33
32472,minorminer,51,1,1.4347,23.4
32442,p3-ember,52,1,1.3212,48.32
32442,p3-ember,50,1,1.3053,60.11
32442,p3-ember,51,1,1.3026,60.11
32472,p3-ember,52,1,1.2973,28.69
32447,minorminer,51,1,1.6337,57.83
32475,minorminer,50,1,1.5908,37.47
32447,minorminer,50,0,,61.51
32447,minorminer,52,0,,61.65
32475,minorminer,52,1,1.688,32.39
32447,p3-ember,51,1,1.6219,60.01
32447,p3-ember,50,0,,61.42
32472,p3-ember,50,1,1.4931,60.01
32472,p3-ember,51,1,1.4122,60.01
32447,p3-ember,52,0,,61.79
32475,minorminer,51,0,,61.31
32502,minorminer,52,1,1.5889,36.46
32475,p3-ember,50,1,1.5698,60.01
32475,p3-ember,51,0,,61.36
32475,p3-ember,52,1,1.6641,60.01
32502,minorminer,50,0,,61.44
32502,minorminer,51,0,,61.3
32502,p3-ember,50,0,,61.31
32502,p3-ember,52,1,1.5751,60.02
32502,p3-ember,51,0,,62.11
