topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,100,0.10101010101010101,101,minorminer,arm,4,,SUCCESS,1,4.79,4.67,9,479,2.2357,498,
Z12,100,0.10101010101010101,101,minorminer,arm,0,,SUCCESS,1,4.68,4.55,9,468,2.345,498,
Z12,100,0.10101010101010101,101,minorminer,arm,9,,SUCCESS,1,5.03,4.87,9,503,2.3859,498,
Z12,100,0.10101010101010101,101,minorminer,arm,8,,SUCCESS,1,5.0,4.86,10,500,2.4974,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,4,,SUCCESS,1,4.76,4.57,9,476,2.5079,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,11,,SUCCESS,1,4.86,4.69,8,486,2.7599,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,3,,SUCCESS,1,5.49,5.23,10,549,2.972,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,14,,SUCCESS,1,4.77,4.65,9,477,3.0601,498,
Z12,100,0.10101010101010101,102,minorminer,arm,2,,SUCCESS,1,4.56,4.38,9,456,3.0354,508,
Z12,100,0.10101010101010101,101,minorminer,arm,3,,SUCCESS,1,4.59,4.5,8,459,3.3229,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,7,,SUCCESS,1,4.62,4.48,8,462,3.5018,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,13,,SUCCESS,1,4.7,4.52,9,470,3.522,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,8,,SUCCESS,1,4.82,4.67,9,482,3.5393,498,
Z12,100,0.10101010101010101,101,minorminer,arm,14,,SUCCESS,1,4.43,4.35,8,443,3.6494,498,
Z12,100,0.10101010101010101,101,minorminer,arm,2,,SUCCESS,1,4.72,4.55,9,472,3.7099,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,10,,SUCCESS,1,4.57,4.47,8,457,3.7555,498,
Z12,100,0.10101010101010101,101,minorminer,arm,7,,SUCCESS,1,4.78,4.63,9,478,3.7929,498,
Z12,100,0.10101010101010101,102,minorminer,arm,0,,SUCCESS,1,4.64,4.49,9,464,3.9163,508,
Z12,100,0.10101010101010101,101,minorminer,arm,13,,SUCCESS,1,4.4,4.27,8,440,3.9563,498,
Z12,100,0.10101010101010101,101,minorminer,arm,11,,SUCCESS,1,4.65,4.49,8,465,4.035,498,
Z12,100,0.10101010101010101,101,minorminer,arm,6,,SUCCESS,1,4.33,4.21,8,433,4.0553,498,
Z12,100,0.10101010101010101,101,minorminer,arm,1,,SUCCESS,1,4.51,4.35,8,451,4.0925,498,
Z12,100,0.10101010101010101,101,minorminer,arm,10,,SUCCESS,1,4.34,4.24,8,434,4.2769,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,0,,SUCCESS,1,4.47,4.4,8,447,4.2975,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,12,,SUCCESS,1,4.77,4.6,10,477,4.3719,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,6,,SUCCESS,1,4.58,4.45,8,458,4.6009,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-mf,arm,4,,SUCCESS,1,4.76,4.57,9,476,4.644,498,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,2,,SUCCESS,1,4.42,4.3,8,442,4.7041,498,
Z12,100,0.10101010101010101,102,minorminer,arm,6,,SUCCESS,1,4.69,4.59,9,469,2.3045,508,
Z12,100,0.10101010101010101,101,p3-mm-beta-fb,arm,1,,SUCCESS,1,4.33,4.22,8,433,4.9864,498,
Z12,100,0.10101010101010101,101,minorminer,arm,12,,SUCCESS,1,4.53,4.39,8,453,5.0948,498,
