,algo_a,algo_b,n_pairs,median_a,median_b,median_diff,direction,w_statistic,p_value,log10_p,effect_size,corrected_p,significant_005,significant_001,significant_0001,effect_magnitude
0,atom,clique,5150,5.8125,8.0,-2.1875,atom < clique,3509321.0,5.8502775985888946e-179,-178.23282352593918,0.46105201501114657,1.7550832795766683e-178,True,True,True,medium
1,atom,minorminer,5802,5.8,3.8846153846153846,1.9153846153846152,atom > minorminer,7723.5,0.0,-944.5314731221831,0.9990811538024332,0.0,True,True,True,large
2,atom,oct-fast-oct-reduce,5633,5.8125,4.714285714285714,1.0982142857142856,atom > oct-fast-oct-reduce,562866.5,0.0,-785.1622726789946,0.9278583966628582,0.0,True,True,True,large
3,atom,pssa,5194,5.777777777777778,6.078947368421052,-0.30116959064327453,atom < pssa,5178626.0,8.833452424444871e-38,-37.053869525658634,0.2074842518395682,8.833452424444871e-38,True,True,True,small
4,clique,minorminer,5450,8.0,4.1521739130434785,3.8478260869565215,clique > minorminer,756866.5,0.0,-713.6231810089257,0.8972647235641774,0.0,True,True,True,large
5,clique,oct-fast-oct-reduce,5566,8.0,4.679285714285714,3.3207142857142857,clique > oct-fast-oct-reduce,48801.0,0.0,-890.4874312233305,0.9936087122991328,0.0,True,True,True,large
6,clique,pssa,6019,8.0,5.833333333333333,2.166666666666667,clique > pssa,0.0,0.0,-982.1076069134479,1.0,0.0,True,True,True,large
7,minorminer,oct-fast-oct-reduce,6456,4.346989966555183,5.112701612903226,-0.7657116463480431,minorminer < oct-fast-oct-reduce,5778389.0,4.4852640767945986e-142,-141.3482119821141,0.37566601136539823,8.970528153589197e-142,True,True,True,medium
8,minorminer,pssa,5536,4.090909090909091,6.28416149068323,-2.1932523997741393,minorminer < pssa,1598988.5,0.0,-539.9712154968098,0.7815105192373583,0.0,True,True,True,large
9,oct-fast-oct-reduce,pssa,5620,4.632456140350877,6.20016339869281,-1.5677072583419331,oct-fast-oct-reduce < pssa,450705.0,0.0,-779.8361058525632,0.9386642829424569,0.0,True,True,True,large
