,Avg chain length,Max chain length,Chain length std,Total qubits,Total couplers,Qubit overhead,Coupler overhead,Wall time,CPU time,Problem nodes,Problem edges,Problem density
Avg chain length,1.0000,0.4514,0.2662,0.7637,0.8192,1.0000,0.1478,0.1118,0.1108,0.0706,0.5600,0.0906
Max chain length,0.4514,1.0000,0.7395,0.5420,0.5333,0.4514,0.0487,0.4334,0.4339,0.3478,0.3325,-0.1535
Chain length std,0.2662,0.7395,1.0000,0.4635,0.4549,0.2662,-0.0293,0.3820,0.3819,0.3025,0.2111,-0.2737
Total qubits,0.7637,0.5420,0.4635,1.0000,0.9906,0.7637,0.0958,0.3861,0.3866,0.5808,0.7176,-0.2457
Total couplers,0.8192,0.5333,0.4549,0.9906,1.0000,0.8192,0.1043,0.3481,0.3483,0.4639,0.7037,-0.1986
Qubit overhead,1.0000,0.4514,0.2662,0.7637,0.8192,1.0000,0.1478,0.1118,0.1108,0.0706,0.5600,0.0906
Coupler overhead,0.1478,0.0487,-0.0293,0.0958,0.1043,0.1478,1.0000,0.0184,0.0186,0.0004,-0.0768,-0.1756
Wall time,0.1118,0.4334,0.3820,0.3861,0.3481,0.1118,0.0184,1.0000,0.9977,0.4403,0.3356,-0.1232
CPU time,0.1108,0.4339,0.3819,0.3866,0.3483,0.1108,0.0186,0.9977,1.0000,0.4422,0.3356,-0.1239
Problem nodes,0.0706,0.3478,0.3025,0.5808,0.4639,0.0706,0.0004,0.4403,0.4422,1.0000,0.4574,-0.4098
Problem edges,0.5600,0.3325,0.2111,0.7176,0.7037,0.5600,-0.0768,0.3356,0.3356,0.4574,1.0000,0.1469
Problem density,0.0906,-0.1535,-0.2737,-0.2457,-0.1986,0.0906,-0.1756,-0.1232,-0.1239,-0.4098,0.1469,1.0000
