,algo_a,algo_b,n_pairs,median_a,median_b,median_diff,direction,w_statistic,p_value,log10_p,effect_size,corrected_p,significant_005,significant_001,significant_0001,effect_magnitude
0,minorminer,minorminer-aggressive,222,1.6952685185185186,1.7392592592592595,-0.04399074074074094,minorminer < minorminer-aggressive,8395.5,0.5954682898613639,-0.2251413608057335,0.04477187393332571,1.0,False,False,False,negligible
1,minorminer,minorminer-fast,222,1.6952685185185186,1.6616435185185185,0.033625000000000016,minorminer > minorminer-fast,7219.0,0.014606581743047298,-1.835451406504092,0.20429870487737667,0.11685265394437838,False,False,False,small
2,minorminer,pssa,177,1.4777777777777779,4.7909790979097915,-3.3132013201320136,minorminer < pssa,1424.0,5.36907823054441e-21,-20.27010026807136,0.8171545968156138,6.442893876653293e-20,True,True,True,large
3,minorminer,pssa-fast,180,1.492326388888889,4.791729743367935,-3.2994033544790464,minorminer < pssa-fast,1430.0,1.3883956094057566e-21,-20.85748676839004,0.8224705152079453,2.2214329750492106e-20,True,True,True,large
4,minorminer,pssa-thorough,179,1.4861111111111112,4.756875687568757,-3.2707645764576454,minorminer < pssa-thorough,1434.0,2.367988149886688e-21,-20.62562047528176,0.819973636306572,3.5519822248300324e-20,True,True,True,large
5,minorminer,pssa-weighted,181,1.4861111111111112,4.786458333333333,-3.300347222222222,minorminer < pssa-weighted,1455.0,1.2169261270342964e-21,-20.91473578462542,0.8213627992633518,2.0687744159583038e-20,True,True,True,large
6,minorminer-aggressive,minorminer-fast,222,1.7392592592592595,1.6616435185185185,0.07761574074074096,minorminer-aggressive > minorminer-fast,6075.5,0.00036595632222958787,-3.436570745607298,0.3013052728422747,0.0032936069000662907,True,True,False,medium
7,minorminer-aggressive,pssa,177,1.4166666666666667,4.7909790979097915,-3.3743124312431245,minorminer-aggressive < pssa,1455.0,1.3417639330210213e-20,-19.87232388625689,0.811038961038961,1.3417639330210213e-19,True,True,True,large
8,minorminer-aggressive,pssa-fast,180,1.493170163170163,4.791729743367935,-3.2985595801977725,minorminer-aggressive < pssa-fast,1458.0,3.306382332533123e-21,-20.48064692834813,0.816960642771954,4.29829703229306e-20,True,True,True,large
9,minorminer-aggressive,pssa-thorough,179,1.4861111111111112,4.756875687568757,-3.2707645764576454,minorminer-aggressive < pssa-thorough,1469.0,6.228100049597116e-21,-20.205644419443843,0.8134958420618295,6.850910054556828e-20,True,True,True,large
10,minorminer-aggressive,pssa-weighted,181,1.4861111111111112,4.786458333333333,-3.300347222222222,minorminer-aggressive < pssa-weighted,1476.0,2.6252202654310767e-21,-20.580834251858764,0.8167597765363128,3.675308371603507e-20,True,True,True,large
11,minorminer-fast,pssa,177,1.4511111111111112,4.7909790979097915,-3.33986798679868,minorminer-fast < pssa,1210.0,2.531119806350208e-22,-21.596687297747565,0.844632768361582,4.556015651430374e-21,True,True,True,large
12,minorminer-fast,pssa-fast,180,1.4716666666666667,4.791729743367935,-3.3200630767012687,minorminer-fast < pssa-fast,1212.0,6.396515457787428e-23,-22.194056546262154,0.849534450651769,1.2793030915574857e-21,True,True,True,large
13,minorminer-fast,pssa-thorough,179,1.4555555555555555,4.756875687568757,-3.301320132013201,minorminer-fast < pssa-thorough,1220.0,1.145311294145497e-22,-21.941076456594583,0.8468394953235829,2.176091458876444e-21,True,True,True,large
14,minorminer-fast,pssa-weighted,181,1.4555555555555555,4.786458333333333,-3.3309027777777773,minorminer-fast < pssa-weighted,1227.0,4.968807880565857e-23,-22.303747794967713,0.8493554327808471,1.04344965491883e-21,True,True,True,large
15,pssa,pssa-fast,194,4.610108069630493,4.476629921056622,0.13347814857387075,pssa > pssa-fast,371.0,0.7908977929599215,-0.10187963637780095,0.04871794871794877,1.0,False,False,False,negligible
16,pssa,pssa-thorough,195,4.647058823529412,4.62962962962963,0.01742919389978237,pssa > pssa-thorough,276.0,0.25469707620729154,-0.5939760404872203,0.21479374110953053,1.0,False,False,False,small
17,pssa,pssa-weighted,195,4.647058823529412,4.645833333333333,0.0012254901960790932,pssa > pssa-weighted,348.0,0.5578016554206999,-0.25352020118684165,0.10769230769230764,1.0,False,False,False,small
18,pssa-fast,pssa-thorough,196,4.569954054228953,4.638344226579521,-0.06839017235056843,pssa-fast < pssa-thorough,271.0,0.038747514649022465,-1.4117561488694412,0.37049941927990704,0.2324850878941348,False,False,False,medium
19,pssa-fast,pssa-weighted,197,4.647058823529412,4.647058823529412,0.0,equal,251.0,0.02001719536943643,-1.698596772056684,0.4169570267131243,0.140120367586055,False,False,False,medium
20,pssa-thorough,pssa-weighted,196,4.638344226579521,4.646446078431373,-0.008101851851851194,pssa-thorough < pssa-weighted,385.0,0.9443727540638497,-0.024856551168083163,0.012820512820512775,1.0,False,False,False,negligible
